transaction_id,account_id,transaction_date,transaction_type,transaction_amount,transaction_direction,transaction_status,channel,merchant_category,amount_issue,transaction_month,transaction_year
TXN50017,ACC24384,2025-11-27 02:51:00,UPI,3451.53,Credit,Successful,Mobile App,Utilities,Valid,November,2025
TXN50018,ACC25021,2025-03-04 05:26:00,Bill Payment,24763.32,Credit,Successful,Branch,Education,Valid,March,2025
TXN50019,ACC23512,2025-07-02 04:48:00,UPI,5335.28,Debit,Successful,Mobile App,Travel,Valid,July,2025
TXN50020,ACC23095,2025-10-19 11:26:00,IMPS,163.37,Credit,Successful,Mobile App,Utilities,Valid,October,2025
TXN50021,ACC21639,2025-09-05 11:09:00,NEFT,1957.24,Debit,Successful,Mobile App,Utilities,Valid,September,2025
TXN50022,ACC24271,2025-10-02 07:04:00,Cash Deposit,898.88,Debit,Successful,Mobile App,Dining,Valid,October,2025
TXN50023,ACC22942,2025-10-05 01:34:00,UPI,5924.32,Debit,Successful,POS,Fuel,Valid,October,2025
TXN50024,ACC23945,2025-05-29 10:06:00,POS,649.86,Credit,Pending,Mobile App,Travel,Valid,May,2025
TXN50025,ACC20947,2025-10-11 15:38:00,ATM,344.04,Credit,Pending,Internet Banking,Dining,Valid,October,2025
TXN50026,ACC20237,2025-08-22 13:16:00,UPI,318.43,Debit,Reversed,POS,Other,Valid,August,2025
TXN50027,ACC24249,2025-01-22 09:47:00,Bill Payment,375.53,Debit,Successful,Mobile App,Groceries,Valid,January,2025
TXN50028,ACC24629,2025-12-23 21:44:00,Bill Payment,3773.06,Debit,Successful,Internet Banking,Shopping,Valid,December,2025
TXN50029,ACC20456,2025-05-16 05:20:00,POS,2940.42,Debit,Successful,Mobile App,Healthcare,Valid,May,2025
TXN50030,ACC20382,2025-12-08 19:02:00,POS,342.92,Debit,Successful,POS,Utilities,Valid,December,2025
TXN50031,ACC22261,2025-07-27 07:27:00,UPI,1756.36,Credit,Successful,Mobile App,Healthcare,Valid,July,2025
TXN50032,ACC22587,2025-05-06 18:31:00,UPI,686.84,Debit,Successful,Mobile App,Groceries,Valid,May,2025
TXN50033,ACC20621,2025-12-11 17:42:00,Cash Deposit,2112.66,Debit,Successful,Mobile App,Travel,Valid,December,2025
TXN50034,ACC21166,2025-02-14 16:56:00,UPI,1510.96,Debit,Successful,Mobile App,Other,Valid,February,2025
TXN50035,ACC22765,2025-11-08 13:22:00,Cash Withdrawal,4856.66,Credit,Successful,Internet Banking,Education,Valid,November,2025
TXN50036,ACC25599,2025-12-06 19:22:00,POS,1246.92,Debit,Successful,POS,Entertainment,Valid,December,2025
TXN50037,ACC20064,2025-04-04 11:32:00,IMPS,2193.31,Debit,Successful,POS,Healthcare,Valid,April,2025
TXN50038,ACC20827,2025-01-21 10:59:00,UPI,2402.41,Debit,Reversed,Internet Banking,Other,Valid,January,2025
TXN50039,ACC23286,2025-07-28 01:07:00,UPI,609.8,Credit,Successful,ATM,Travel,Valid,July,2025
TXN50040,ACC22145,2025-02-04 17:00:00,ATM,2975.19,Debit,Successful,POS,Education,Valid,February,2025
TXN50041,ACC24168,2025-03-24 14:16:00,UPI,728.45,Credit,Reversed,Mobile App,Other,Valid,March,2025
TXN50042,ACC23171,2025-03-17 19:46:00,Bill Payment,800.85,Debit,Successful,POS,Dining,Valid,March,2025
TXN50043,ACC24575,2025-03-05 23:24:00,POS,923.66,Debit,Successful,POS,Healthcare,Valid,March,2025
TXN50044,ACC23938,2025-06-19 07:13:00,POS,3685.95,Credit,Successful,ATM,Other,Valid,June,2025
TXN50045,ACC23640,2025-04-16 18:12:00,Cash Withdrawal,554.23,Debit,Successful,Branch,Shopping,Valid,April,2025
TXN50046,ACC23982,2025-08-15 22:13:00,UPI,2287.75,Debit,Successful,POS,Education,Valid,August,2025
TXN50047,ACC20128,2025-10-25 08:09:00,UPI,912.56,Credit,Successful,POS,Entertainment,Valid,October,2025
TXN50048,ACC20059,2025-03-01 02:30:00,UPI,2008.35,Debit,Reversed,ATM,Shopping,Valid,March,2025
TXN50049,ACC22919,2025-02-04 10:09:00,IMPS,3037.47,Debit,Pending,ATM,Healthcare,Valid,February,2025
TXN50050,ACC23323,2025-01-14 03:23:00,Cash Withdrawal,141.44,Debit,Successful,ATM,Dining,Valid,January,2025
TXN50051,ACC23187,2025-08-07 09:15:00,Cash Withdrawal,152.2,Debit,Successful,ATM,Utilities,Valid,August,2025
TXN50052,ACC22504,2025-10-26 02:28:00,UPI,722.28,Debit,Successful,ATM,Travel,Valid,October,2025
TXN50053,ACC21115,2025-06-26 12:25:00,POS,1596.99,Debit,Successful,Internet Banking,Fuel,Valid,June,2025
TXN50054,ACC20896,2025-04-30 15:36:00,IMPS,1036.57,Credit,Successful,ATM,Groceries,Valid,April,2025
TXN50055,ACC20929,2025-12-19 10:24:00,POS,643.44,Credit,Successful,Internet Banking,Healthcare,Valid,December,2025
TXN50056,ACC23648,2025-11-07 07:53:00,UPI,730.57,Debit,Successful,POS,Education,Valid,November,2025
TXN50057,ACC20574,2025-07-22 04:51:00,Cash Withdrawal,1207.88,Debit,Successful,ATM,Travel,Valid,July,2025
TXN50058,ACC20365,2025-10-22 11:39:00,UPI,2135.25,Debit,Successful,Mobile App,Fuel,Valid,October,2025
TXN50059,ACC24004,2025-08-30 12:15:00,ATM,8727.58,Credit,Successful,POS,Fuel,Valid,August,2025
TXN50060,ACC22041,2025-07-21 05:39:00,POS,2376.82,Debit,Successful,POS,Travel,Valid,July,2025
TXN50061,ACC21585,2025-03-27 08:09:00,POS,2471.05,Debit,Successful,POS,Other,Valid,March,2025
TXN50062,ACC25416,2025-02-15 21:25:00,ATM,941.42,Debit,Successful,Internet Banking,Dining,Valid,February,2025
TXN50063,ACC25577,2025-09-09 08:01:00,POS,4616.02,Debit,Successful,Mobile App,Entertainment,Valid,September,2025
TXN50064,ACC20886,2025-05-05 01:45:00,POS,1935.8,Debit,Successful,Mobile App,Shopping,Valid,May,2025
TXN50065,ACC25726,2025-01-19 08:56:00,Bill Payment,1000.98,Debit,Successful,POS,Travel,Valid,January,2025
TXN50066,ACC21099,2025-09-07 13:59:00,POS,582.35,Debit,Successful,Mobile App,Groceries,Valid,September,2025
TXN50067,ACC20211,2025-09-22 20:39:00,Cash Withdrawal,948.29,Debit,Successful,Internet Banking,Entertainment,Valid,September,2025
TXN50068,ACC22278,2025-03-21 22:44:00,UPI,1408.41,Credit,Successful,Mobile App,Entertainment,Valid,March,2025
TXN50069,ACC22639,2025-02-21 03:23:00,Cash Deposit,1776.0749999999998,Credit,Successful,POS,Travel,Valid,February,2025
TXN50070,ACC23446,2025-09-24 18:52:00,ATM,3794.63,Debit,Successful,Mobile App,Groceries,Valid,September,2025
TXN50071,ACC23290,2025-03-06 03:46:00,UPI,751.72,Debit,Successful,POS,Education,Valid,March,2025
TXN50072,ACC20413,2025-09-21 07:32:00,POS,2427.76,Debit,Successful,ATM,Healthcare,Valid,September,2025
TXN50073,ACC20556,2025-01-20 05:57:00,NEFT,4052.05,Credit,Successful,Mobile App,Fuel,Valid,January,2025
TXN50074,ACC22154,2025-02-25 01:34:00,POS,6753.87,Debit,Successful,Mobile App,Education,Valid,February,2025
TXN50075,ACC20231,2025-05-29 09:51:00,Bill Payment,1886.93,Credit,Successful,Internet Banking,Shopping,Valid,May,2025
TXN50076,ACC24432,2025-09-18 17:33:00,ATM,1087.88,Debit,Successful,POS,Groceries,Valid,September,2025
TXN50077,ACC22698,2025-05-06 18:38:00,POS,2842.72,Debit,Successful,ATM,Healthcare,Valid,May,2025
TXN50078,ACC20905,2025-07-23 14:44:00,UPI,7505.49,Debit,Successful,ATM,Entertainment,Valid,July,2025
TXN50079,ACC22263,2025-12-04 04:25:00,ATM,363.25,Debit,Reversed,POS,Fuel,Valid,December,2025
TXN50080,ACC25890,2025-06-17 13:45:00,POS,1250.51,Debit,Successful,POS,Healthcare,Valid,June,2025
TXN50081,ACC21609,2025-10-08 21:40:00,ATM,438.6,Debit,Successful,POS,Fuel,Valid,October,2025
TXN50082,ACC20484,2025-05-13 14:46:00,ATM,11938.17,Credit,Successful,ATM,Utilities,Valid,May,2025
TXN50083,ACC21416,2025-05-13 05:11:00,UPI,10507.74,Debit,Successful,POS,Healthcare,Valid,May,2025
TXN50084,ACC23427,2025-12-25 12:36:00,UPI,1122.13,Credit,Successful,Branch,Education,Valid,December,2025
TXN50085,ACC24515,2025-10-19 10:20:00,ATM,6207.55,Debit,Reversed,ATM,Travel,Valid,October,2025
TXN50086,ACC20433,2025-09-08 20:46:00,UPI,2613.52,Credit,Successful,Mobile App,Utilities,Valid,September,2025
TXN50087,ACC23148,2025-02-15 15:27:00,IMPS,1536.79,Credit,Successful,Mobile App,Travel,Valid,February,2025
TXN50088,ACC23431,2025-03-09 13:30:00,POS,898.14,Debit,Successful,Mobile App,Healthcare,Valid,March,2025
TXN50089,ACC24428,2025-05-29 09:26:00,POS,333.52,Debit,Successful,Branch,Utilities,Valid,May,2025
TXN50090,ACC22626,2025-06-07 12:41:00,POS,1412.48,Debit,Successful,ATM,Education,Valid,June,2025
TXN50091,ACC24359,2025-03-17 09:02:00,UPI,852.44,Debit,Successful,Branch,Other,Valid,March,2025
TXN50092,ACC24678,2025-10-06 15:01:00,IMPS,642.19,Debit,Successful,Mobile App,Dining,Valid,October,2025
TXN50093,ACC20149,2025-05-16 08:58:00,ATM,307.35,Debit,Failed,ATM,Education,Valid,May,2025
TXN50094,ACC22980,2025-09-05 15:42:00,Cash Deposit,5270.6,Credit,Successful,Internet Banking,Other,Valid,September,2025
TXN50095,ACC24704,2025-04-14 18:05:00,ATM,1826.14,Debit,Successful,Internet Banking,Dining,Valid,April,2025
TXN50096,ACC22867,2025-06-12 19:37:00,ATM,8341.5,Credit,Successful,Mobile App,Shopping,Valid,June,2025
TXN50097,ACC24943,2025-12-18 20:59:00,UPI,1160.61,Credit,Successful,Mobile App,Groceries,Valid,December,2025
TXN50098,ACC22129,2025-10-26 16:22:00,IMPS,6515.3,Debit,Successful,POS,Education,Valid,October,2025
TXN50099,ACC20286,2025-07-31 19:24:00,UPI,886.96,Debit,Successful,Branch,Shopping,Valid,July,2025
TXN50100,ACC24250,2025-09-22 14:25:00,POS,495.51,Credit,Successful,Mobile App,Groceries,Valid,September,2025
TXN50101,ACC24980,2025-03-12 04:00:00,NEFT,600.4,Credit,Successful,POS,Dining,Valid,March,2025
TXN50102,ACC22378,2025-06-21 16:41:00,ATM,2528.2,Debit,Successful,POS,Other,Valid,June,2025
TXN50103,ACC23185,2025-11-21 19:47:00,ATM,9212.12,Credit,Successful,Internet Banking,Travel,Valid,November,2025
TXN50104,ACC21046,2025-09-09 17:40:00,IMPS,5667.07,Credit,Successful,Branch,Groceries,Valid,September,2025
TXN50105,ACC21990,2025-02-13 16:32:00,Cash Deposit,4745.06,Credit,Successful,Branch,Utilities,Valid,February,2025
TXN50106,ACC25265,2025-04-03 14:12:00,UPI,875.76,Credit,Successful,Mobile App,Shopping,Valid,April,2025
TXN50107,ACC20009,2025-03-18 01:03:00,IMPS,3123.09,Debit,Successful,Mobile App,Entertainment,Valid,March,2025
TXN50108,ACC22641,2025-02-19 07:41:00,UPI,1110.11,Credit,Failed,POS,Travel,Valid,February,2025
TXN50109,ACC21707,2025-05-17 13:50:00,Bill Payment,2057.67,Credit,Successful,Internet Banking,Shopping,Valid,May,2025
TXN50110,ACC20829,2025-08-30 19:55:00,UPI,6052.08,Debit,Successful,Mobile App,Healthcare,Valid,August,2025
TXN50111,ACC20471,2025-03-21 08:18:00,UPI,411.86,Debit,Successful,POS,Utilities,Valid,March,2025
TXN50112,ACC22095,2025-11-28 10:03:00,POS,8898.08,Debit,Successful,Mobile App,Utilities,Valid,November,2025
TXN50113,ACC25237,2025-11-24 05:42:00,UPI,463.95,Credit,Successful,Mobile App,Other,Valid,November,2025
TXN50114,ACC20790,2025-09-05 01:12:00,Cash Withdrawal,783.3,Credit,Pending,ATM,Utilities,Valid,September,2025
TXN50115,ACC25413,2025-08-20 02:15:00,NEFT,11565.89,Debit,Successful,Mobile App,Travel,Valid,August,2025
TXN50116,ACC25790,2025-08-03 11:32:00,POS,1692.18,Debit,Successful,POS,Other,Valid,August,2025
TXN50117,ACC25269,2025-08-22 14:19:00,NEFT,1122.81,Debit,Successful,POS,Dining,Valid,August,2025
TXN50118,ACC23698,2025-10-09 04:45:00,Bill Payment,2236.27,Debit,Successful,Internet Banking,Travel,Valid,October,2025
TXN50119,ACC20240,2025-05-04 17:41:00,UPI,1218.1,Credit,Successful,POS,Travel,Valid,May,2025
TXN50120,ACC25579,2025-06-13 11:36:00,ATM,5481.67,Debit,Successful,Branch,Entertainment,Valid,June,2025
TXN50121,ACC22412,2025-03-03 11:19:00,Bill Payment,574.68,Debit,Successful,Branch,Fuel,Valid,March,2025
TXN50122,ACC21180,2025-06-10 21:23:00,UPI,3280.14,Credit,Successful,Internet Banking,Groceries,Valid,June,2025
TXN50123,ACC20917,2025-09-25 01:50:00,POS,2201.44,Credit,Successful,Internet Banking,Groceries,Valid,September,2025
TXN50124,ACC22226,2025-04-27 03:01:00,IMPS,14240.43,Credit,Successful,POS,Entertainment,Valid,April,2025
TXN50125,ACC25425,2025-01-17 19:22:00,UPI,915.36,Credit,Successful,Mobile App,Groceries,Valid,January,2025
TXN50126,ACC25460,2025-09-25 14:49:00,UPI,4776.96,Debit,Successful,POS,Entertainment,Valid,September,2025
TXN50127,ACC25899,2025-01-26 03:41:00,ATM,2562.07,Debit,Successful,ATM,Entertainment,Valid,January,2025
TXN50128,ACC24558,2025-01-23 12:58:00,POS,1239.38,Debit,Successful,ATM,Education,Valid,January,2025
TXN50129,ACC24194,2025-03-10 07:05:00,UPI,495.31,Debit,Successful,Internet Banking,Other,Valid,March,2025
TXN50130,ACC23859,2025-06-20 07:27:00,IMPS,729.7,Debit,Successful,Mobile App,Travel,Valid,June,2025
TXN50131,ACC22221,2025-06-08 01:41:00,POS,6541.47,Debit,Successful,Internet Banking,Dining,Valid,June,2025
TXN50132,ACC25698,2025-05-30 04:10:00,Cash Deposit,5837.15,Debit,Successful,Mobile App,Travel,Valid,May,2025
TXN50133,ACC24939,2025-12-29 00:35:00,POS,5133.76,Debit,Successful,POS,Healthcare,Valid,December,2025
TXN50134,ACC22132,2025-04-07 07:28:00,POS,2336.72,Credit,Successful,Mobile App,Utilities,Valid,April,2025
TXN50135,ACC23751,2025-02-28 11:12:00,Cash Deposit,2339.33,Debit,Successful,Mobile App,Other,Valid,February,2025
TXN50136,ACC21254,2025-05-05 18:50:00,Bill Payment,6280.32,Credit,Successful,Internet Banking,Healthcare,Valid,May,2025
TXN50137,ACC21764,2025-04-27 07:37:00,Cash Deposit,11650.32,Debit,Successful,Mobile App,Entertainment,Valid,April,2025
TXN50138,ACC20689,2025-12-19 23:38:00,Cash Withdrawal,2221.74,Debit,Successful,Branch,Dining,Valid,December,2025
TXN50139,ACC24743,2025-08-04 23:04:00,IMPS,1540.37,Credit,Successful,Mobile App,Utilities,Valid,August,2025
TXN50140,ACC20016,2025-05-16 15:28:00,UPI,821.17,Debit,Successful,Mobile App,Travel,Valid,May,2025
TXN50141,ACC20990,2025-04-05 06:16:00,POS,654.28,Debit,Successful,POS,Healthcare,Valid,April,2025
TXN50142,ACC24692,2025-10-07 09:38:00,Bill Payment,391.53,Credit,Successful,ATM,Utilities,Valid,October,2025
TXN50143,ACC22863,2025-02-11 20:06:00,POS,21815.34,Debit,Successful,Internet Banking,Travel,Valid,February,2025
TXN50144,ACC22138,2025-04-20 13:25:00,ATM,3164.17,Debit,Successful,Mobile App,Dining,Valid,April,2025
TXN50145,ACC21047,2025-12-01 23:43:00,UPI,602.12,Debit,Successful,ATM,Entertainment,Valid,December,2025
TXN50146,ACC24795,2025-12-06 00:37:00,POS,1933.99,Debit,Successful,Mobile App,Travel,Valid,December,2025
TXN50147,ACC24515,2025-01-03 10:08:00,POS,1223.86,Debit,Successful,Internet Banking,Fuel,Valid,January,2025
TXN50148,ACC20571,2025-06-26 02:39:00,POS,484.07,Debit,Successful,Internet Banking,Fuel,Valid,June,2025
TXN50149,ACC21674,2025-06-24 02:39:00,UPI,3877.25,Debit,Successful,Branch,Utilities,Valid,June,2025
TXN50150,ACC20824,2025-05-24 05:48:00,POS,7628.78,Debit,Successful,POS,Dining,Valid,May,2025
TXN50151,ACC23128,2025-09-14 09:15:00,UPI,989.35,Credit,Successful,ATM,Groceries,Valid,September,2025
TXN50152,ACC22015,2025-08-05 20:06:00,UPI,494.71,Debit,Successful,Internet Banking,Entertainment,Valid,August,2025
TXN50153,ACC21973,2025-03-25 06:52:00,UPI,1012.07,Debit,Successful,Internet Banking,Dining,Valid,March,2025
TXN50154,ACC21766,2025-03-10 09:01:00,POS,6900.78,Debit,Successful,Mobile App,Entertainment,Valid,March,2025
TXN50155,ACC20071,2025-03-30 10:30:00,ATM,1462.3,Credit,Successful,Internet Banking,Shopping,Valid,March,2025
TXN50156,ACC21420,2025-09-07 12:46:00,UPI,651.4,Credit,Successful,POS,Fuel,Valid,September,2025
TXN50157,ACC20481,2025-11-27 15:36:00,POS,7709.82,Credit,Successful,Mobile App,Entertainment,Valid,November,2025
TXN50158,ACC25626,2025-12-11 10:22:00,UPI,3957.26,Debit,Successful,Mobile App,Dining,Valid,December,2025
TXN50159,ACC24705,2025-02-02 01:21:00,POS,1287.89,Credit,Successful,Internet Banking,Groceries,Valid,February,2025
TXN50160,ACC24388,2025-04-27 03:56:00,UPI,6455.79,Debit,Successful,ATM,Education,Valid,April,2025
TXN50161,ACC22655,2025-01-09 20:44:00,Cash Withdrawal,1242.26,Debit,Pending,Mobile App,Other,Valid,January,2025
TXN50162,ACC20230,2025-06-24 01:11:00,UPI,2057.11,Credit,Successful,POS,Shopping,Valid,June,2025
TXN50163,ACC24463,2025-12-02 04:54:00,IMPS,3253.08,Debit,Successful,POS,Shopping,Valid,December,2025
TXN50164,ACC23829,2025-02-19 01:50:00,Cash Withdrawal,378.26,Debit,Successful,ATM,Fuel,Valid,February,2025
TXN50165,ACC20019,2025-12-17 21:32:00,UPI,731.59,Debit,Successful,Mobile App,Fuel,Valid,December,2025
TXN50166,ACC24106,2025-11-14 02:41:00,UPI,684.97,Debit,Successful,POS,Utilities,Valid,November,2025
TXN50167,ACC22151,2025-03-20 18:12:00,Cash Deposit,1210.42,Debit,Successful,POS,Other,Valid,March,2025
TXN50168,ACC24081,2025-06-25 01:46:00,Cash Deposit,2036.34,Debit,Successful,ATM,Shopping,Valid,June,2025
TXN50169,ACC24994,2025-11-16 23:59:00,UPI,4334.12,Debit,Successful,Mobile App,Fuel,Valid,November,2025
TXN50170,ACC25713,2025-10-22 01:31:00,UPI,8638.07,Debit,Failed,POS,Utilities,Valid,October,2025
TXN50171,ACC25786,2025-03-09 21:55:00,POS,4263.2,Credit,Successful,ATM,Fuel,Valid,March,2025
TXN50172,ACC24451,2025-03-04 07:19:00,UPI,585.02,Credit,Successful,POS,Travel,Valid,March,2025
TXN50173,ACC22679,2025-12-31 01:07:00,ATM,1000.22,Debit,Successful,Mobile App,Groceries,Valid,December,2025
TXN50174,ACC21170,2025-10-20 07:38:00,UPI,492.6,Debit,Successful,Mobile App,Shopping,Valid,October,2025
TXN50175,ACC20699,2025-02-17 12:14:00,UPI,2183.66,Credit,Successful,POS,Dining,Valid,February,2025
TXN50176,ACC24825,2025-06-27 13:26:00,ATM,503.24,Credit,Successful,Mobile App,Dining,Valid,June,2025
TXN50177,ACC25768,2025-12-28 18:40:00,IMPS,19047.04,Debit,Reversed,Internet Banking,Travel,Valid,December,2025
TXN50178,ACC22615,2025-03-23 00:12:00,NEFT,4938.93,Debit,Failed,POS,Travel,Valid,March,2025
TXN50179,ACC23782,2025-11-11 18:50:00,Cash Deposit,4273.35,Debit,Successful,Internet Banking,Dining,Valid,November,2025
TXN50180,ACC21527,2025-04-23 01:28:00,UPI,4066.49,Credit,Successful,Branch,Dining,Valid,April,2025
TXN50181,ACC24038,2025-04-20 19:52:00,ATM,2904.04,Credit,Successful,Mobile App,Other,Valid,April,2025
TXN50182,ACC25199,2025-06-01 23:04:00,POS,9513.6,Debit,Successful,ATM,Travel,Valid,June,2025
TXN50183,ACC24365,2025-05-25 11:37:00,IMPS,15157.75,Debit,Successful,ATM,Entertainment,Valid,May,2025
TXN50184,ACC23992,2025-04-21 02:45:00,UPI,1908.9,Debit,Successful,Branch,Groceries,Valid,April,2025
TXN50185,ACC20377,2025-12-15 09:37:00,Bill Payment,2782.9,Credit,Successful,Mobile App,Education,Valid,December,2025
TXN50186,ACC22342,2025-07-31 17:34:00,UPI,8063.94,Debit,Successful,Branch,Utilities,Valid,July,2025
TXN50187,ACC24027,2025-01-25 16:32:00,UPI,1748.61,Credit,Reversed,POS,Dining,Valid,January,2025
TXN50188,ACC21542,2025-03-30 14:22:00,UPI,1357.28,Debit,Successful,Internet Banking,Shopping,Valid,March,2025
TXN50189,ACC25229,2025-03-26 05:51:00,POS,8702.0,Debit,Successful,POS,Other,Valid,March,2025
TXN50190,ACC21201,2025-03-23 20:16:00,IMPS,599.48,Debit,Successful,Mobile App,Entertainment,Valid,March,2025
TXN50191,ACC22066,2025-07-30 18:05:00,POS,5525.22,Debit,Successful,Mobile App,Dining,Valid,July,2025
TXN50192,ACC20822,2025-02-22 01:39:00,UPI,4197.78,Credit,Successful,ATM,Entertainment,Valid,February,2025
TXN50193,ACC20940,2025-10-30 22:18:00,UPI,2619.58,Debit,Successful,Mobile App,Fuel,Valid,October,2025
TXN50194,ACC23122,2025-12-27 08:20:00,Cash Deposit,4314.3,Debit,Pending,POS,Dining,Valid,December,2025
TXN50195,ACC22943,2025-05-31 06:04:00,Cash Deposit,786.74,Debit,Successful,Internet Banking,Groceries,Valid,May,2025
TXN50196,ACC23818,2025-08-16 00:21:00,UPI,9084.88,Credit,Successful,Branch,Other,Valid,August,2025
TXN50197,ACC21835,2025-07-17 14:44:00,IMPS,3845.73,Debit,Successful,POS,Education,Valid,July,2025
TXN50198,ACC21582,2025-08-17 06:52:00,Bill Payment,696.3,Credit,Successful,Internet Banking,Entertainment,Valid,August,2025
TXN50199,ACC20071,2025-10-22 09:22:00,NEFT,3750.75,Credit,Successful,Mobile App,Travel,Valid,October,2025
TXN50200,ACC21106,2025-01-05 18:49:00,Bill Payment,2608.91,Debit,Successful,Internet Banking,Dining,Valid,January,2025
TXN50201,ACC23328,2025-08-20 05:18:00,POS,1643.0,Debit,Successful,Mobile App,Utilities,Valid,August,2025
TXN50202,ACC20326,2025-08-27 02:00:00,IMPS,3533.43,Debit,Successful,ATM,Dining,Valid,August,2025
TXN50203,ACC25880,2025-01-31 04:27:00,UPI,2312.42,Credit,Successful,Mobile App,Healthcare,Valid,January,2025
TXN50204,ACC23959,2025-10-28 20:57:00,UPI,258.99,Credit,Successful,Mobile App,Healthcare,Valid,October,2025
TXN50205,ACC22426,2025-05-03 21:14:00,UPI,1155.87,Credit,Successful,Mobile App,Shopping,Valid,May,2025
TXN50206,ACC25095,2025-10-27 03:33:00,NEFT,2939.25,Credit,Successful,Mobile App,Groceries,Valid,October,2025
TXN50207,ACC23411,2025-06-04 21:42:00,Bill Payment,1804.24,Debit,Successful,Mobile App,Entertainment,Valid,June,2025
TXN50208,ACC24647,2025-11-22 02:29:00,UPI,2796.22,Debit,Successful,Internet Banking,Dining,Valid,November,2025
TXN50209,ACC22093,2025-06-26 11:26:00,UPI,1655.76,Credit,Successful,Mobile App,Utilities,Valid,June,2025
TXN50210,ACC24172,2025-09-22 21:58:00,UPI,461.12,Credit,Pending,POS,Utilities,Valid,September,2025
TXN50211,ACC20028,2025-06-18 21:57:00,IMPS,260.8,Debit,Successful,Internet Banking,Education,Valid,June,2025
TXN50212,ACC24851,2025-03-07 13:17:00,POS,1859.28,Debit,Successful,ATM,Utilities,Valid,March,2025
TXN50213,ACC25480,2025-08-30 03:27:00,IMPS,1806.64,Credit,Successful,POS,Groceries,Valid,August,2025
TXN50214,ACC20029,2025-02-27 05:14:00,UPI,854.0,Credit,Pending,POS,Healthcare,Valid,February,2025
TXN50215,ACC20267,2025-01-20 13:38:00,UPI,5696.53,Debit,Successful,Mobile App,Utilities,Valid,January,2025
TXN50216,ACC21232,2025-11-09 23:09:00,ATM,23564.35,Debit,Successful,POS,Groceries,Valid,November,2025
TXN50217,ACC24601,2025-05-19 07:08:00,Cash Deposit,18305.3,Credit,Successful,POS,Groceries,Valid,May,2025
TXN50218,ACC22621,2025-03-08 05:20:00,Bill Payment,2429.44,Credit,Successful,Internet Banking,Other,Valid,March,2025
TXN50219,ACC24795,2025-06-18 04:56:00,UPI,2451.08,Debit,Successful,ATM,Education,Valid,June,2025
TXN50220,ACC25176,2025-05-30 05:47:00,UPI,2021.49,Credit,Successful,Mobile App,Education,Valid,May,2025
TXN50221,ACC25446,2025-01-01 13:24:00,ATM,1158.73,Debit,Successful,Mobile App,Utilities,Valid,January,2025
TXN50222,ACC21774,2025-08-27 00:14:00,ATM,372.98,Credit,Successful,ATM,Healthcare,Valid,August,2025
TXN50223,ACC25559,2025-05-21 09:57:00,ATM,1187.67,Credit,Successful,Internet Banking,Fuel,Valid,May,2025
TXN50224,ACC25399,2025-05-13 15:41:00,IMPS,1981.59,Credit,Successful,Internet Banking,Shopping,Valid,May,2025
TXN50225,ACC24467,2025-11-29 12:02:00,UPI,1148.05,Debit,Successful,ATM,Healthcare,Valid,November,2025
TXN50226,ACC21605,2025-09-24 17:58:00,POS,5083.98,Credit,Successful,Mobile App,Entertainment,Valid,September,2025
TXN50227,ACC22353,2025-05-21 19:30:00,UPI,326.84,Debit,Successful,Internet Banking,Travel,Valid,May,2025
