customer_id,age,gender,city,occupation,annual_income,signup_date,customer_segment,age_group,income_category
CUST10034,29,Female,Thanjavur,Self-Employed,494300.0,2025-01-29,Young Adult,Adult,Medium
CUST10035,49,Male,Trichy,Salaried,324900.0,2026-03-04,Mass Market,Middle Age,Low
CUST10036,45,Female,Kochi,Salaried,503600.0,2025-09-26,Mass Market,Middle Age,Medium
CUST10037,36,Female,Thanjavur,Self-Employed,260300.0,2022-01-07,Mass Market,Adult,Low
CUST10038,35,Male,Kochi,Salaried,1357400.0,2025-06-22,Young Adult,Adult,High
CUST10039,38,Female,Salem,Salaried,294600.0,2026-08-04,Young Adult,Adult,Low
CUST10040,31,Female,Pune,Salaried,300600.0,2022-04-22,Young Adult,Adult,Low
CUST10041,36,Female,Salem,Student,324800.0,2025-10-09,Young Adult,Adult,Low
CUST10042,38,Male,Bengaluru,Self-Employed,927100.0,2026-07-05,Premium,Adult,High
CUST10043,52,Female,Trichy,Salaried,794700.0,2025-06-19,Mass Market,Middle Age,High
CUST10044,23,Female,Chennai,Student,795100.0,2023-11-26,Mass Market,Young Adult,High
CUST10045,46,Male,Bengaluru,Self-Employed,976600.0,2025-09-17,Mass Market,Middle Age,High
CUST10046,54,Male,Tirunelveli,Business Owner,1781300.0,2026-05-17,Affluent,Middle Age,High
CUST10047,27,Male,Bengaluru,Salaried,2300200.0,2021-04-14,Premium,Adult,High
CUST10048,38,Female,Chennai,Salaried,842400.0,2023-07-09,Mass Market,Adult,High
CUST10049,39,Male,Chennai,Salaried,496700.0,2022-06-13,Affluent,Adult,Medium
CUST10050,34,Male,Trichy,Freelancer,356300.0,2021-07-20,Mass Market,Adult,Low
CUST10051,31,Male,Coimbatore,Student,310800.0,2022-02-25,Affluent,Adult,Low
CUST10052,25,Male,Kochi,Retired,223500.0,2025-10-25,Mass Market,Young Adult,Low
CUST10053,18,Female,Chennai,Salaried,514700.0,2026-04-10,Affluent,Young Adult,Medium
CUST10054,42,Male,Madurai,Salaried,327200.0,2022-08-07,Mass Market,Middle Age,Low
CUST10055,18,Female,Tirunelveli,Student,869500.0,2026-05-29,Mass Market,Young Adult,High
CUST10056,42,Male,Kochi,Self-Employed,547000.0,2023-07-27,Affluent,Middle Age,Medium
CUST10057,46,Male,Bengaluru,Self-Employed,434000.0,2022-05-15,Mass Market,Middle Age,Medium
CUST10058,25,Female,Thanjavur,Freelancer,838100.0,2026-02-15,Mass Market,Young Adult,High
CUST10059,42,Male,Pune,Business Owner,437400.0,2026-04-07,Mass Market,Middle Age,Medium
CUST10060,44,Female,Chennai,Retired,1399900.0,2023-10-26,Mass Market,Middle Age,High
CUST10061,44,Male,Vellore,Salaried,206000.0,2025-07-05,Mass Market,Middle Age,Low
CUST10062,31,Female,Pune,Salaried,662900.0,2024-06-14,Young Adult,Adult,Medium
CUST10063,40,Female,Vellore,Salaried,316400.0,2026-05-16,Affluent,Adult,Low
CUST10064,38,Male,Hyderabad,Salaried,1052800.0,2025-07-05,Affluent,Adult,High
CUST10065,27,Female,Trichy,Self-Employed,650200.0,2025-11-09,Affluent,Adult,Medium
CUST10066,30,Female,Coimbatore,Business Owner,299700.0,2023-04-10,Young Adult,Adult,Low
CUST10067,43,Female,Coimbatore,Retired,256400.0,2024-04-20,Affluent,Middle Age,Low
CUST10068,30,Male,Chennai,Business Owner,742100.0,2024-01-07,Young Adult,Adult,High
CUST10069,41,Female,Vellore,Salaried,559100.0,2021-02-07,Mass Market,Middle Age,Medium
CUST10070,37,Female,Chennai,Self-Employed,471900.0,2021-05-16,Mass Market,Adult,Medium
CUST10071,33,Female,Erode,Retired,753200.0,2022-09-06,Affluent,Adult,High
CUST10072,37,Male,Hyderabad,Self-Employed,353300.0,2026-02-20,Mass Market,Adult,Low
CUST10073,40,Male,Coimbatore,Student,1089100.0,2026-06-29,Affluent,Adult,High
CUST10074,37,Other,Hyderabad,Self-Employed,372200.0,2025-01-14,Mass Market,Adult,Low
CUST10075,38,Female,Pune,Retired,1796800.0,2023-03-30,Mass Market,Adult,High
CUST10076,44,Male,Madurai,Student,868800.0,2023-12-02,Mass Market,Middle Age,High
CUST10077,34,Male,Coimbatore,Freelancer,482200.0,2026-06-12,Mass Market,Adult,Medium
CUST10078,38,Male,Pune,Freelancer,136600.0,2026-03-27,Affluent,Adult,Low
CUST10079,34,Female,Trichy,Self-Employed,348800.0,2026-07-30,Mass Market,Adult,Low
CUST10080,41,Male,Salem,Salaried,394800.0,2025-11-14,Mass Market,Middle Age,Low
CUST10081,35,Male,Thanjavur,Salaried,528800.0,2021-05-18,Mass Market,Adult,Medium
CUST10082,44,Female,Mumbai,Student,811600.0,2024-04-03,Young Adult,Middle Age,High
CUST10083,48,Male,Delhi,Salaried,507000.0,2024-07-21,Affluent,Middle Age,Medium
CUST10084,21,Male,Kochi,Student,715700.0,2026-02-18,Young Adult,Young Adult,High
CUST10085,51,Female,Coimbatore,Self-Employed,322700.0,2022-02-07,Mass Market,Middle Age,Low
CUST10086,49,Male,Trichy,Self-Employed,1031500.0,2025-12-01,Affluent,Middle Age,High
CUST10087,28,Male,Salem,Retired,373400.0,2023-11-27,Mass Market,Adult,Low
CUST10088,62,Male,Salem,Salaried,553450.0,2026-01-30,Young Adult,Senior,Medium
CUST10089,39,Male,Coimbatore,Business Owner,409300.0,2023-01-20,Affluent,Adult,Low
CUST10090,42,Female,Vellore,Salaried,272400.0,2025-10-10,Mass Market,Middle Age,Low
CUST10091,55,Female,Kochi,Salaried,311500.0,2026-05-17,Mass Market,Middle Age,Low
CUST10092,29,Female,Kochi,Freelancer,247400.0,2021-09-21,Mass Market,Adult,Low
CUST10093,24,Male,Erode,Salaried,677400.0,2023-12-28,Premium,Young Adult,Medium
CUST10094,32,Male,Coimbatore,Freelancer,1419700.0,2026-08-04,Mass Market,Adult,High
CUST10095,38,Female,Thanjavur,Retired,682600.0,2025-02-25,Mass Market,Adult,Medium
CUST10096,40,Male,Kochi,Salaried,224600.0,2022-01-31,Affluent,Adult,Low
CUST10097,44,Male,Thanjavur,Salaried,550700.0,2023-03-09,Mass Market,Middle Age,Medium
CUST10098,55,Female,Bengaluru,Freelancer,550100.0,2025-08-12,Mass Market,Middle Age,Medium
CUST10099,28,Male,Pune,Retired,411700.0,2022-08-23,Premium,Adult,Low
CUST10100,23,Female,Vellore,Business Owner,318200.0,2026-01-15,Premium,Young Adult,Low
CUST10101,40,Male,Vellore,Business Owner,744200.0,2021-02-27,Affluent,Adult,High
CUST10102,36,Male,Chennai,Business Owner,303200.0,2022-01-13,Mass Market,Adult,Low
CUST10103,35,Male,Erode,Freelancer,149800.0,2021-01-01,Affluent,Adult,Low
CUST10104,21,Female,Madurai,Freelancer,391000.0,2026-01-23,Premium,Young Adult,Low
CUST10105,43,Female,Tirunelveli,Salaried,1057200.0,2021-12-07,Mass Market,Middle Age,High
CUST10106,43,Female,Coimbatore,Salaried,1744500.0,2023-03-26,Mass Market,Middle Age,High
CUST10107,33,Female,Thanjavur,Salaried,287700.0,2023-10-13,Affluent,Adult,Low
CUST10108,66,Female,Erode,Salaried,626800.0,2022-05-10,Mass Market,Senior,Medium
CUST10109,23,Male,Vellore,Salaried,146200.0,2021-07-02,Young Adult,Young Adult,Low
CUST10110,47,Female,Vellore,Self-Employed,1065600.0,2024-01-05,Affluent,Middle Age,High
CUST10111,30,Female,Mumbai,Freelancer,267100.0,2025-01-03,Mass Market,Adult,Low
CUST10112,27,Male,Erode,Self-Employed,346200.0,2022-09-26,Mass Market,Adult,Low
CUST10113,23,Male,Chennai,Freelancer,155800.0,2021-01-22,Young Adult,Young Adult,Low
CUST10114,47,Male,Hyderabad,Salaried,992000.0,2024-07-07,Mass Market,Middle Age,High
CUST10115,29,Male,Coimbatore,Salaried,494300.0,2026-07-09,Mass Market,Adult,Medium
CUST10116,31,Male,Coimbatore,Salaried,338500.0,2022-07-07,Premium,Adult,Low
CUST10117,32,Male,Erode,Salaried,1045300.0,2023-07-03,Mass Market,Adult,High
CUST10118,41,Male,Bengaluru,Business Owner,335100.0,2026-04-22,Mass Market,Middle Age,Low
CUST10119,49,Male,Erode,Salaried,524600.0,2022-06-22,Mass Market,Middle Age,Medium
CUST10120,40,Female,Salem,Retired,173400.0,2024-04-05,Premium,Adult,Low
CUST10121,50,Male,Trichy,Salaried,249000.0,2021-12-12,Mass Market,Middle Age,Low
CUST10122,51,Male,Salem,Salaried,782400.0,2025-09-08,Mass Market,Middle Age,High
CUST10123,32,Male,Kochi,Business Owner,1981500.0,2022-10-18,Mass Market,Adult,High
CUST10124,40,Male,Trichy,Salaried,228100.0,2022-07-09,Mass Market,Adult,Low
CUST10125,46,Male,Bengaluru,Salaried,330300.0,2024-06-07,Affluent,Middle Age,Low
CUST10126,45,Male,Salem,Business Owner,687700.0,2025-08-15,Mass Market,Middle Age,Medium
CUST10127,38,Female,Bengaluru,Salaried,310200.0,2025-05-19,Affluent,Adult,Low
CUST10128,54,Male,Madurai,Salaried,632500.0,2022-09-01,Premium,Middle Age,Medium
CUST10129,34,Female,Coimbatore,Retired,742200.0,2023-03-17,Mass Market,Adult,High
CUST10130,35,Female,Salem,Salaried,1227100.0,2025-03-21,Premium,Adult,High
CUST10131,41,Female,Trichy,Self-Employed,1539600.0,2021-02-27,Mass Market,Middle Age,High
CUST10132,35,Male,Tirunelveli,Business Owner,658900.0,2022-03-11,Mass Market,Adult,Medium
CUST10133,26,Female,Salem,Retired,553450.0,2025-05-14,Mass Market,Adult,Medium
CUST10134,49,Male,Delhi,Retired,415100.0,2021-10-28,Premium,Middle Age,Low
CUST10135,37,Male,Chennai,Salaried,629400.0,2021-07-30,Young Adult,Adult,Medium
CUST10136,48,Male,Coimbatore,Retired,420400.0,2024-11-22,Young Adult,Middle Age,Low
CUST10137,50,Male,Tirunelveli,Salaried,413300.0,2024-12-18,Premium,Middle Age,Low
CUST10138,24,Male,Bengaluru,Self-Employed,348000.0,2021-04-16,Young Adult,Young Adult,Low
CUST10139,43,Female,Coimbatore,Salaried,525800.0,2021-04-15,Young Adult,Middle Age,Medium
CUST10140,32,Female,Vellore,Salaried,1316700.0,2026-05-04,Mass Market,Adult,High
CUST10141,40,Male,Vellore,Self-Employed,666900.0,2024-09-04,Affluent,Adult,Medium
CUST10142,44,Other,Kochi,Student,705400.0,2024-05-28,Premium,Middle Age,Medium
CUST10143,30,Female,Vellore,Freelancer,493000.0,2026-01-18,Mass Market,Adult,Medium
CUST10144,27,Male,Coimbatore,Self-Employed,423300.0,2024-08-28,Young Adult,Adult,Low
CUST10145,37,Female,Hyderabad,Salaried,340400.0,2022-05-13,Mass Market,Adult,Low
CUST10146,34,Male,Madurai,Salaried,140500.0,2026-08-01,Mass Market,Adult,Low
CUST10147,32,Female,Pune,Self-Employed,349700.0,2026-03-27,Mass Market,Adult,Low
CUST10148,41,Male,Pune,Business Owner,575000.0,2022-12-01,Premium,Middle Age,Medium
CUST10149,36,Female,Trichy,Student,317700.0,2022-09-23,Mass Market,Adult,Low
CUST10150,43,Male,Delhi,Self-Employed,2104000.0,2023-04-28,Premium,Middle Age,High
CUST10151,44,Female,Coimbatore,Salaried,612000.0,2025-11-12,Mass Market,Middle Age,Medium
CUST10152,30,Female,Pune,Salaried,1640900.0,2024-10-09,Mass Market,Adult,High
CUST10153,32,Female,Thanjavur,Freelancer,802400.0,2026-02-23,Mass Market,Adult,High
CUST10154,41,Female,Erode,Salaried,193400.0,2023-08-14,Mass Market,Middle Age,Low
CUST10155,40,Male,Chennai,Student,330500.0,2021-10-12,Affluent,Adult,Low
CUST10156,39,Male,Chennai,Business Owner,467900.0,2025-06-23,Affluent,Adult,Medium
CUST10157,53,Male,Bengaluru,Salaried,689100.0,2021-05-20,Affluent,Middle Age,Medium
CUST10158,54,Female,Mumbai,Salaried,407100.0,2023-03-12,Mass Market,Middle Age,Low
CUST10159,19,Male,Delhi,Self-Employed,1412700.0,2022-12-12,Affluent,Young Adult,High
CUST10160,38,Male,Delhi,Retired,211600.0,2021-07-05,Affluent,Adult,Low
CUST10161,35,Female,Erode,Student,272700.0,2021-07-17,Mass Market,Adult,Low
CUST10162,27,Male,Mumbai,Retired,178100.0,2026-01-25,Mass Market,Adult,Low
CUST10163,20,Male,Salem,Business Owner,1669500.0,2023-02-12,Premium,Young Adult,High
CUST10164,18,Female,Vellore,Self-Employed,334100.0,2026-06-05,Young Adult,Young Adult,Low
CUST10165,34,Male,Thanjavur,Salaried,1512600.0,2021-03-25,Mass Market,Adult,High
CUST10166,32,Female,Chennai,Freelancer,593800.0,2022-06-13,Affluent,Adult,Medium
CUST10167,39,Male,Hyderabad,Salaried,1202500.0,2023-06-15,Mass Market,Adult,High
CUST10168,34,Female,Madurai,Freelancer,581600.0,2022-07-19,Mass Market,Adult,Medium
CUST10169,45,Male,Madurai,Salaried,260700.0,2022-10-19,Mass Market,Middle Age,Low
CUST10170,49,Female,Chennai,Freelancer,1596900.0,2023-02-01,Young Adult,Middle Age,High
CUST10171,29,Male,Pune,Business Owner,432100.0,2025-05-17,Mass Market,Adult,Medium
CUST10172,31,Female,Hyderabad,Salaried,454300.0,2024-01-23,Mass Market,Adult,Medium
CUST10173,51,Male,Erode,Salaried,435200.0,2025-10-09,Mass Market,Middle Age,Medium
CUST10174,27,Male,Bengaluru,Salaried,612900.0,2025-08-24,Young Adult,Adult,Medium
CUST10175,55,Female,Delhi,Retired,607400.0,2021-11-19,Mass Market,Middle Age,Medium
CUST10176,59,Male,Chennai,Self-Employed,506800.0,2025-04-19,Young Adult,Middle Age,Medium
CUST10177,33,Male,Kochi,Student,533100.0,2024-06-02,Mass Market,Adult,Medium
CUST10178,38,Female,Coimbatore,Business Owner,181300.0,2023-02-06,Mass Market,Adult,Low
CUST10179,41,Male,Trichy,Salaried,315000.0,2024-11-10,Mass Market,Middle Age,Low
CUST10180,23,Female,Salem,Business Owner,597300.0,2022-12-17,Premium,Young Adult,Medium
CUST10181,59,Male,Kochi,Salaried,1985700.0,2023-12-16,Mass Market,Middle Age,High
CUST10182,18,Male,Hyderabad,Salaried,413100.0,2026-03-16,Affluent,Young Adult,Low
CUST10183,36,Female,Pune,Business Owner,525200.0,2026-08-01,Young Adult,Adult,Medium
CUST10184,32,Female,Erode,Salaried,1819900.0,2025-08-30,Affluent,Adult,High
CUST10185,58,Male,Pune,Student,544100.0,2024-03-24,Mass Market,Middle Age,Medium
CUST10186,37,Male,Chennai,Retired,276100.0,2026-03-31,Mass Market,Adult,Low
CUST10187,21,Male,Bengaluru,Student,289400.0,2022-12-26,Mass Market,Young Adult,Low
CUST10188,42,Female,Thanjavur,Freelancer,443000.0,2024-08-27,Mass Market,Middle Age,Medium
CUST10189,40,Female,Kochi,Freelancer,1651800.0,2026-05-29,Mass Market,Adult,High
CUST10190,51,Male,Salem,Student,546800.0,2025-12-27,Mass Market,Middle Age,Medium
CUST10191,18,Female,Coimbatore,Salaried,168500.0,2022-05-07,Mass Market,Young Adult,Low
CUST10192,47,Female,Vellore,Freelancer,409900.0,2024-01-27,Mass Market,Middle Age,Low
CUST10193,48,Female,Erode,Salaried,243400.0,2022-01-23,Mass Market,Middle Age,Low
CUST10194,29,Male,Hyderabad,Student,205900.0,2023-05-28,Mass Market,Adult,Low
CUST10195,26,Female,Tirunelveli,Salaried,1093600.0,2023-08-06,Affluent,Adult,High
CUST10196,29,Male,Chennai,Salaried,1035900.0,2021-01-21,Mass Market,Adult,High
CUST10197,48,Female,Salem,Freelancer,553450.0,2022-01-17,Young Adult,Middle Age,Medium
CUST10198,45,Male,Kochi,Business Owner,731800.0,2026-02-04,Premium,Middle Age,High
CUST10199,31,Female,Pune,Freelancer,381700.0,2024-09-15,Premium,Adult,Low
CUST10200,46,Female,Erode,Salaried,404600.0,2025-07-30,Mass Market,Middle Age,Low
CUST10201,50,Female,Chennai,Salaried,943800.0,2023-01-18,Young Adult,Middle Age,High
CUST10202,33,Male,Mumbai,Student,553450.0,2021-04-22,Affluent,Adult,Medium
CUST10203,49,Male,Hyderabad,Student,185400.0,2024-12-12,Premium,Middle Age,Low
CUST10204,32,Female,Bengaluru,Salaried,685300.0,2022-10-05,Premium,Adult,Medium
CUST10205,32,Male,Trichy,Salaried,896300.0,2024-12-11,Mass Market,Adult,High
CUST10206,35,Male,Chennai,Freelancer,585600.0,2023-06-06,Mass Market,Adult,Medium
CUST10207,39,Male,Vellore,Salaried,757700.0,2022-03-26,Young Adult,Adult,High
CUST10208,18,Male,Vellore,Salaried,338200.0,2024-02-23,Affluent,Young Adult,Low
CUST10209,24,Female,Salem,Self-Employed,116300.0,2023-05-29,Mass Market,Young Adult,Low
CUST10210,18,Male,Vellore,Salaried,868700.0,2024-04-22,Mass Market,Young Adult,High
CUST10211,43,Female,Bengaluru,Freelancer,634700.0,2024-01-04,Affluent,Middle Age,Medium
CUST10212,50,Female,Coimbatore,Student,1013000.0,2022-06-28,Affluent,Middle Age,High
CUST10213,52,Female,Madurai,Salaried,272700.0,2022-02-20,Mass Market,Middle Age,Low
CUST10214,18,Male,Kochi,Salaried,325500.0,2023-12-17,Young Adult,Young Adult,Low
CUST10215,37,Female,Erode,Student,939200.0,2022-01-30,Young Adult,Adult,High
CUST10216,23,Female,Hyderabad,Salaried,521800.0,2025-11-22,Mass Market,Young Adult,Medium
CUST10217,21,Female,Hyderabad,Salaried,553450.0,2022-12-03,Mass Market,Young Adult,Medium
CUST10218,30,Male,Mumbai,Retired,1004600.0,2022-03-11,Mass Market,Adult,High
CUST10219,22,Female,Erode,Salaried,314700.0,2021-09-05,Young Adult,Young Adult,Low
CUST10220,58,Female,Hyderabad,Salaried,662800.0,2024-12-30,Mass Market,Middle Age,Medium
CUST10221,20,Female,Salem,Salaried,446600.0,2023-01-30,Mass Market,Young Adult,Medium
CUST10222,25,Male,Chennai,Freelancer,464300.0,2022-03-12,Mass Market,Young Adult,Medium
CUST10223,34,Female,Coimbatore,Salaried,1071300.0,2024-07-08,Premium,Adult,High
CUST10224,37,Male,Madurai,Salaried,376400.0,2024-02-08,Mass Market,Adult,Low
CUST10225,36,Male,Salem,Salaried,834200.0,2021-09-19,Mass Market,Adult,High
CUST10226,23,Male,Pune,Retired,228200.0,2024-04-07,Mass Market,Young Adult,Low
CUST10227,39,Female,Coimbatore,Salaried,1054400.0,2024-07-12,Mass Market,Adult,High
CUST10228,39,Female,Delhi,Salaried,509300.0,2022-10-24,Affluent,Adult,Medium
CUST10229,44,Male,Vellore,Salaried,459600.0,2023-12-05,Mass Market,Middle Age,Medium
CUST10230,34,Male,Bengaluru,Self-Employed,1061500.0,2023-11-16,Premium,Adult,High
CUST10231,46,Female,Erode,Student,194800.0,2021-09-15,Mass Market,Middle Age,Low
CUST10232,20,Female,Chennai,Freelancer,1479600.0,2021-02-26,Mass Market,Young Adult,High
CUST10233,50,Female,Delhi,Salaried,1516400.0,2025-08-14,Affluent,Middle Age,High
CUST10234,45,Male,Chennai,Salaried,1334400.0,2023-11-19,Mass Market,Middle Age,High
CUST10235,39,Male,Vellore,Salaried,677700.0,2025-08-25,Young Adult,Adult,Medium
CUST10236,41,Female,Chennai,Self-Employed,421200.0,2021-03-05,Affluent,Middle Age,Low
CUST10237,47,Female,Hyderabad,Self-Employed,522700.0,2021-08-23,Mass Market,Middle Age,Medium
CUST10238,45,Male,Madurai,Self-Employed,553450.0,2022-01-31,Affluent,Middle Age,Medium
CUST10239,24,Female,Tirunelveli,Student,677500.0,2023-08-22,Affluent,Young Adult,Medium
CUST10240,48,Female,Salem,Business Owner,582300.0,2021-04-05,Premium,Middle Age,Medium
CUST10241,38,Female,Bengaluru,Salaried,1158000.0,2024-06-23,Mass Market,Adult,High
CUST10242,49,Male,Salem,Salaried,553450.0,2022-05-19,Mass Market,Middle Age,Medium
CUST10243,40,Female,Kochi,Freelancer,473100.0,2022-01-20,Young Adult,Adult,Medium
CUST10244,25,Female,Erode,Self-Employed,402000.0,2024-12-05,Mass Market,Young Adult,Low
CUST10245,24,Female,Bengaluru,Student,633500.0,2024-07-14,Mass Market,Young Adult,Medium
CUST10246,41,Female,Thanjavur,Salaried,653300.0,2026-02-11,Affluent,Middle Age,Medium
CUST10247,48,Male,Kochi,Business Owner,361500.0,2021-06-05,Affluent,Middle Age,Low
CUST10248,20,Male,Tirunelveli,Salaried,278700.0,2025-07-14,Mass Market,Young Adult,Low
CUST10249,32,Male,Tirunelveli,Self-Employed,666900.0,2024-07-18,Affluent,Adult,Medium
CUST10250,48,Male,Tirunelveli,Salaried,326000.0,2023-06-03,Premium,Middle Age,Low
CUST10251,32,Male,Salem,Student,1035300.0,2026-03-11,Mass Market,Adult,High
CUST10252,56,Female,Thanjavur,Salaried,857900.0,2025-10-12,Mass Market,Middle Age,High
CUST10253,43,Female,Thanjavur,Salaried,687900.0,2022-05-05,Affluent,Middle Age,Medium
CUST10254,49,Male,Erode,Salaried,320100.0,2025-03-13,Mass Market,Middle Age,Low
CUST10255,28,Other,Erode,Business Owner,995300.0,2023-10-28,Mass Market,Adult,High
CUST10256,56,Female,Tirunelveli,Business Owner,725500.0,2025-05-13,Affluent,Middle Age,High
CUST10257,44,Other,Chennai,Student,253000.0,2024-04-10,Mass Market,Middle Age,Low
CUST10258,40,Male,Coimbatore,Salaried,301500.0,2024-12-30,Mass Market,Adult,Low
CUST10259,45,Male,Chennai,Salaried,230300.0,2021-08-25,Young Adult,Middle Age,Low
CUST10260,40,Female,Delhi,Freelancer,178700.0,2025-11-24,Premium,Adult,Low
CUST10261,52,Female,Bengaluru,Salaried,399800.0,2021-04-07,Affluent,Middle Age,Low
CUST10262,35,Female,Pune,Student,553450.0,2024-02-27,Premium,Adult,Medium
CUST10263,34,Male,Mumbai,Retired,584700.0,2024-09-15,Mass Market,Adult,Medium
CUST10264,35,Male,Madurai,Freelancer,374800.0,2024-04-01,Affluent,Adult,Low
CUST10265,39,Male,Bengaluru,Salaried,543600.0,2022-05-17,Premium,Adult,Medium
CUST10266,37,Female,Trichy,Salaried,804000.0,2024-05-01,Premium,Adult,High
CUST10267,18,Male,Thanjavur,Self-Employed,114800.0,2025-09-03,Mass Market,Young Adult,Low
CUST10268,49,Male,Madurai,Salaried,167500.0,2024-07-30,Young Adult,Middle Age,Low
CUST10269,26,Other,Madurai,Freelancer,553450.0,2021-03-25,Affluent,Adult,Medium
CUST10270,31,Female,Tirunelveli,Salaried,467000.0,2024-11-03,Young Adult,Adult,Medium
CUST10271,33,Female,Coimbatore,Salaried,240400.0,2023-03-20,Premium,Adult,Low
CUST10272,45,Male,Salem,Self-Employed,279300.0,2021-08-18,Mass Market,Middle Age,Low
CUST10273,18,Female,Thanjavur,Salaried,962800.0,2022-04-07,Young Adult,Young Adult,High
CUST10274,21,Female,Pune,Salaried,752300.0,2022-10-27,Mass Market,Young Adult,High
CUST10275,63,Female,Mumbai,Student,498200.0,2022-05-18,Affluent,Senior,Medium
CUST10276,51,Female,Hyderabad,Student,942400.0,2022-04-30,Affluent,Middle Age,High
CUST10277,56,Other,Tirunelveli,Freelancer,501000.0,2021-06-02,Mass Market,Middle Age,Medium
CUST10278,34,Female,Vellore,Student,1937300.0,2022-05-30,Premium,Adult,High
CUST10279,50,Male,Thanjavur,Salaried,566200.0,2024-12-21,Mass Market,Middle Age,Medium
CUST10280,34,Male,Hyderabad,Salaried,229700.0,2024-05-22,Mass Market,Adult,Low
CUST10281,32,Female,Mumbai,Freelancer,1436600.0,2021-04-28,Mass Market,Adult,High
CUST10282,18,Female,Mumbai,Salaried,765200.0,2025-10-06,Affluent,Young Adult,High
CUST10283,35,Male,Chennai,Business Owner,613800.0,2022-06-02,Mass Market,Adult,Medium
CUST10284,33,Female,Kochi,Salaried,701500.0,2024-12-29,Premium,Adult,Medium
CUST10285,18,Female,Bengaluru,Retired,448600.0,2025-08-29,Young Adult,Young Adult,Medium
CUST10286,26,Male,Erode,Business Owner,1268100.0,2025-04-23,Mass Market,Adult,High
CUST10287,33,Female,Thanjavur,Student,1013100.0,2025-03-25,Affluent,Adult,High
CUST10288,24,Male,Chennai,Student,600400.0,2023-09-08,Young Adult,Young Adult,Medium
CUST10289,45,Male,Erode,Self-Employed,640200.0,2025-09-21,Mass Market,Middle Age,Medium
CUST10290,33,Male,Delhi,Freelancer,596800.0,2023-06-19,Mass Market,Adult,Medium
CUST10291,40,Male,Salem,Salaried,553100.0,2022-05-28,Mass Market,Adult,Medium
CUST10292,49,Male,Tirunelveli,Business Owner,172500.0,2023-01-22,Mass Market,Middle Age,Low
CUST10293,40,Male,Erode,Student,494600.0,2021-04-27,Premium,Adult,Medium
