loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,loan_status,application_date,loan_to_income_ratio
LOAN70101,CUST12033,Personal,908100.0,12.33,84,Closed,2022-05-31,0.4879110251450677
LOAN70102,CUST13364,Auto,185900.0,17.61,48,Defaulted,2025-04-28,0.3718
LOAN70103,CUST10679,Auto,1307700.0,10.97,36,Closed,2023-08-20,1.3386221721772955
LOAN70104,CUST13366,Personal,1940000.0,13.33,36,Pending,2025-10-16,4.824670479980105
LOAN70105,CUST14740,Home,106800.0,12.62,36,Pending,2022-04-08,0.09478168264110756
LOAN70106,CUST11945,Business,435700.0,10.1,84,Active,2023-02-08,0.7993028802054669
LOAN70107,CUST11569,Personal,127900.0,15.63,60,Active,2024-02-03,0.08722635204255609
LOAN70108,CUST12503,Business,2284500.0,12.41,12,Closed,2024-09-07,1.8174224343675418
LOAN70109,CUST11271,Personal,268400.0,12.62,60,Pending,2022-11-08,0.6458132820019249
LOAN70110,CUST10094,Personal,213300.0,15.83,12,Active,2025-11-13,0.1502430090864267
LOAN70111,CUST10675,Education,114200.0,12.4,12,Active,2024-06-21,0.23663489432242021
LOAN70112,CUST14003,Business,1775300.0,14.26,60,Active,2024-06-18,4.6571353620146905
LOAN70113,CUST14216,Education,1380100.0,15.5,120,Defaulted,2025-09-18,1.1747531494722505
LOAN70114,CUST14593,Personal,414300.0,8.31,36,Active,2026-06-05,0.8236580516898608
LOAN70115,CUST14872,Home,1258500.0,10.4,84,Active,2024-05-01,2.206346423562412
LOAN70116,CUST11764,Business,797000.0,11.81,84,Pending,2023-12-08,0.5834980598872538
LOAN70117,CUST10390,Business,1727300.0,17.14,36,Defaulted,2026-01-24,6.79771743408107
LOAN70118,CUST12079,Home,2279800.0,13.21,36,Active,2026-04-06,7.869520193303417
LOAN70119,CUST10236,Personal,1151700.0,16.24,84,Active,2025-06-26,2.7343304843304845
LOAN70120,CUST11367,Education,246000.0,10.51,84,Active,2025-05-31,0.16930488644184447
LOAN70121,CUST14386,Personal,615600.0,9.84,60,Active,2024-07-21,1.2661456190867955
LOAN70122,CUST13107,Education,608900.0,14.77,48,Closed,2024-11-24,0.8924226879671698
LOAN70123,CUST12662,Personal,612250.0,10.8,48,Active,2024-02-08,1.6044287211740043
LOAN70124,CUST12768,Home,955200.0,11.17,60,Active,2022-11-28,2.017743979721166
LOAN70125,CUST11446,Auto,650100.0,7.92,48,Active,2025-01-21,0.6173202924698509
LOAN70126,CUST10325,Home,397500.0,15.17,36,Active,2022-07-15,0.46891589005544415
LOAN70127,CUST11383,Home,2185300.0,16.04,24,Active,2024-09-27,10.567214700193423
LOAN70128,CUST13300,Home,173200.0,9.22,24,Closed,2023-04-28,0.12293278444176307
LOAN70129,CUST14328,Personal,746400.0,16.11,60,Active,2023-07-25,1.3486313126750384
LOAN70130,CUST12272,Personal,612250.0,11.06,24,Active,2025-01-10,1.0826702033598585
LOAN70131,CUST13480,Home,331900.0,11.41,48,Closed,2025-04-29,0.5752166377816291
LOAN70132,CUST12774,Education,1878000.0,9.38,60,Pending,2024-05-16,14.671875
LOAN70133,CUST14940,Business,203400.0,13.62,48,Closed,2025-05-17,0.7261692252766869
LOAN70134,CUST10730,Home,336100.0,8.8,48,Closed,2025-12-02,1.2687806719516799
LOAN70135,CUST11697,Personal,155600.0,7.86,48,Active,2022-12-20,0.2683221245042249
LOAN70136,CUST10148,Business,656100.0,7.65,120,Closed,2025-10-05,1.1410434782608696
LOAN70137,CUST12789,Education,439000.0,13.78,24,Active,2026-01-31,0.6616428033157498
LOAN70138,CUST10811,Education,1251400.0,9.04,84,Closed,2023-10-07,0.7131703425086909
LOAN70139,CUST13724,Personal,1014000.0,10.77,48,Active,2022-01-04,3.648794530406621
LOAN70140,CUST14023,Business,1010300.0,10.73,36,Closed,2023-01-08,2.4865862663056855
LOAN70141,CUST13176,Personal,318100.0,15.64,36,Defaulted,2025-01-12,0.5342626805508902
LOAN70142,CUST11540,Home,910000.0,11.76,48,Active,2022-08-29,1.3819286256643888
LOAN70143,CUST12176,Personal,309800.0,12.72,48,Closed,2022-02-13,0.3440693025322079
LOAN70144,CUST13377,Personal,3568900.0,13.45,120,Closed,2023-04-12,8.913336663336663
LOAN70145,CUST11485,Auto,182100.0,8.46,24,Active,2023-05-26,0.4732328482328482
LOAN70146,CUST13506,Education,2304800.0,14.98,48,Active,2024-07-25,3.8114767653381842
LOAN70147,CUST11092,Business,368400.0,11.69,60,Closed,2022-11-17,0.3126538233047611
LOAN70148,CUST11234,Personal,212800.0,15.83,84,Active,2022-12-04,0.56
LOAN70149,CUST11417,Home,277300.0,9.54,24,Active,2025-04-23,0.6295119182746879
LOAN70150,CUST11633,Auto,244400.0,9.83,48,Active,2026-07-18,0.3994116685732963
LOAN70151,CUST12283,Business,185600.0,13.41,36,Pending,2024-09-11,0.3438947563461182
LOAN70152,CUST11919,Personal,1277300.0,10.24,36,Active,2023-02-26,1.2201948796331676
LOAN70153,CUST14822,Personal,326600.0,16.15,36,Closed,2023-10-22,0.5249116039858567
LOAN70154,CUST13886,Personal,647600.0,8.25,36,Active,2024-08-15,0.6613562091503268
LOAN70155,CUST11235,Personal,546100.0,7.64,48,Active,2026-05-12,0.8328503888973616
LOAN70156,CUST12825,Education,2097400.0,10.8,48,Active,2023-03-19,10.122586872586872
LOAN70157,CUST10118,Personal,277100.0,10.13,48,Closed,2026-01-09,0.8269173381080275
LOAN70158,CUST12366,Personal,268400.0,11.76,60,Closed,2024-02-06,0.2342672601902767
LOAN70159,CUST14530,Home,212000.0,9.6,24,Closed,2023-06-24,0.6430087958750379
LOAN70160,CUST13194,Home,430500.0,15.27,48,Active,2025-06-22,0.2934560327198364
LOAN70161,CUST12112,Auto,612250.0,10.7,60,Active,2023-12-03,1.407147782119053
LOAN70162,CUST12209,Personal,1385200.0,11.72,60,Active,2024-12-01,6.121078214759169
LOAN70163,CUST14746,Auto,848800.0,16.08,60,Closed,2023-03-24,1.7941238638765589
LOAN70164,CUST13026,Home,221200.0,10.14,36,Active,2026-03-08,0.661681124738259
LOAN70165,CUST11140,Business,254200.0,15.37,36,Pending,2022-03-05,0.2008057508491982
LOAN70166,CUST14767,Home,448500.0,16.35,60,Pending,2023-07-14,1.3079615048118984
LOAN70167,CUST13278,Education,762500.0,10.85,24,Active,2025-02-02,1.0403875017055533
LOAN70168,CUST11642,Personal,322000.0,10.71,48,Active,2026-01-20,0.4277932775342102
LOAN70169,CUST11977,Personal,231900.0,13.54,24,Active,2022-07-06,0.19758030161029225
LOAN70170,CUST12062,Business,1238800.0,16.17,84,Pending,2025-05-01,2.3413343413343415
LOAN70171,CUST13709,Education,474100.0,11.83,60,Active,2026-02-13,2.2947725072604066
LOAN70172,CUST13565,Home,305700.0,12.24,60,Active,2023-03-21,0.34103078982597057
LOAN70173,CUST10481,Personal,103900.0,15.29,24,Closed,2022-03-14,0.3887018331462776
LOAN70174,CUST10708,Business,782500.0,15.86,12,Defaulted,2022-12-05,2.9730243161094223
LOAN70175,CUST13954,Personal,505000.0,14.86,36,Active,2022-03-04,1.443269505573021
LOAN70176,CUST13449,Business,333400.0,9.59,60,Active,2023-01-29,0.8964775477278838
LOAN70177,CUST11154,Personal,1424400.0,11.99,24,Pending,2023-04-04,3.562781390695348
LOAN70178,CUST12919,Home,179200.0,12.54,36,Closed,2026-08-10,0.2533220243143907
LOAN70179,CUST14345,Personal,952200.0,11.46,48,Pending,2026-05-01,1.2226502311248073
LOAN70180,CUST10127,Personal,967400.0,7.51,60,Active,2022-12-16,3.118633139909736
LOAN70181,CUST14605,Personal,824500.0,13.01,24,Closed,2022-05-10,0.7677623614861719
LOAN70182,CUST14139,Auto,633300.0,9.9,84,Active,2023-11-08,1.9728971962616821
LOAN70183,CUST10790,Home,754800.0,10.82,60,Active,2024-03-11,5.062374245472837
LOAN70184,CUST10046,Education,174400.0,10.36,36,Active,2023-09-19,0.09790602369056307
LOAN70185,CUST13294,Personal,611900.0,8.1,48,Closed,2024-04-04,2.0519785378940307
LOAN70186,CUST10167,Business,191000.0,9.51,84,Active,2025-05-19,0.15883575883575884
LOAN70187,CUST11940,Home,108300.0,15.57,48,Active,2024-06-14,0.13241227533928354
LOAN70188,CUST13742,Personal,1380400.0,7.7,36,Active,2025-12-05,5.486486486486487
LOAN70189,CUST14079,Business,725700.0,15.99,36,Defaulted,2023-08-23,3.211061946902655
LOAN70190,CUST14864,Home,607200.0,10.05,36,Pending,2024-03-18,1.5824863174354964
LOAN70191,CUST11209,Personal,1126400.0,9.14,120,Active,2022-02-03,1.3501138679132207
LOAN70192,CUST12475,Education,350700.0,11.13,36,Closed,2022-04-23,0.4996438239065394
LOAN70193,CUST14874,Home,663000.0,8.81,60,Closed,2024-01-15,2.7362773421378455
LOAN70194,CUST13401,Personal,193200.0,13.09,12,Defaulted,2025-01-24,0.3951728369809777
LOAN70195,CUST11644,Auto,1129200.0,11.74,36,Active,2023-05-10,1.8038338658146964
LOAN70196,CUST13896,Personal,1399900.0,9.21,48,Closed,2024-04-13,0.9662479293208173
LOAN70197,CUST13764,Personal,839400.0,8.24,36,Closed,2025-03-08,1.9186285714285713
LOAN70198,CUST11309,Education,162300.0,15.81,36,Active,2024-07-18,0.3305498981670061
LOAN70199,CUST10232,Home,1954100.0,8.96,36,Active,2023-02-07,1.3206947823736146
LOAN70200,CUST12958,Personal,353400.0,16.1,48,Active,2022-11-06,1.2545260915867944
LOAN70201,CUST10400,Education,372600.0,14.78,24,Active,2025-03-21,0.27983477281261737
LOAN70202,CUST12334,Auto,195200.0,7.9,36,Closed,2023-07-11,0.5104602510460251
LOAN70203,CUST11632,Personal,4795500.0,16.23,12,Active,2026-04-27,5.125587858058999
LOAN70204,CUST13732,Education,485700.0,14.99,84,Pending,2026-07-01,5.118018967334036
LOAN70205,CUST13445,Home,628300.0,12.57,60,Closed,2022-08-29,0.8810825971112046
LOAN70206,CUST14601,Education,496400.0,15.4,24,Pending,2025-06-28,0.5451949478308622
LOAN70207,CUST12503,Home,314600.0,14.87,48,Active,2025-10-13,0.25027844073190136
LOAN70208,CUST11283,Personal,485400.0,10.38,48,Closed,2026-08-21,0.2979010678777464
LOAN70209,CUST11925,Home,478400.0,8.6,36,Active,2024-12-04,1.085792101679528
LOAN70210,CUST13296,Business,808700.0,14.91,48,Defaulted,2023-09-26,1.2624102403996253
LOAN70211,CUST14674,Personal,410400.0,12.45,24,Closed,2024-12-03,0.22764588418016418
LOAN70212,CUST10521,Personal,1033000.0,17.36,48,Defaulted,2023-03-31,0.91440205364256
LOAN70213,CUST11439,Business,910800.0,12.41,12,Active,2025-03-05,0.7386861313868613
LOAN70214,CUST10108,Personal,435700.0,8.09,60,Closed,2022-09-24,0.6951180599872367
LOAN70215,CUST10187,Education,476600.0,12.11,48,Active,2026-06-06,1.6468555632342778
LOAN70216,CUST12673,Personal,521000.0,9.04,84,Active,2023-09-21,1.6357927786499216
LOAN70217,CUST11476,Personal,3842600.0,9.16,24,Active,2023-03-20,7.977164210089267
LOAN70218,CUST12360,Business,1704300.0,10.84,24,Active,2022-01-27,2.89649898028552
LOAN70219,CUST12619,Personal,825000.0,15.68,12,Active,2025-08-15,1.426841923209962
LOAN70220,CUST13643,Home,1804900.0,9.18,48,Active,2025-11-29,2.453309773005301
LOAN70221,CUST13897,Auto,720900.0,11.99,24,Active,2025-07-29,0.7703569138704851
LOAN70222,CUST11131,Personal,216300.0,9.58,24,Pending,2022-02-17,0.39082121239497697
LOAN70223,CUST14397,Education,147000.0,10.31,60,Closed,2022-08-11,0.10704922808039616
LOAN70224,CUST14408,Home,343000.0,12.82,48,Closed,2023-05-24,0.2495452891960713
LOAN70225,CUST12233,Personal,512100.0,14.78,84,Active,2025-01-14,0.8814113597246127
LOAN70226,CUST13654,Home,1804800.0,10.53,12,Pending,2022-02-20,0.9295905227916559
LOAN70227,CUST11239,Business,177300.0,15.01,84,Active,2026-04-18,0.25166784953867993
LOAN70228,CUST11559,Home,416200.0,10.9,84,Active,2024-06-25,0.47603797323573144
LOAN70229,CUST11396,Auto,335000.0,12.01,84,Active,2022-07-20,0.3366157556270096
LOAN70230,CUST12539,Personal,1336100.0,11.06,24,Active,2024-11-18,1.455446623093682
LOAN70231,CUST12834,Home,342900.0,10.86,48,Active,2025-10-18,1.2285919025438912
LOAN70232,CUST10710,Home,1099200.0,14.84,60,Active,2024-12-31,1.5560588901472254
LOAN70233,CUST13504,Personal,1936300.0,10.88,24,Closed,2024-01-18,1.8372710883385521
LOAN70234,CUST10233,Auto,809800.0,11.31,60,Active,2022-04-04,0.5340279609601688
LOAN70235,CUST11792,Personal,935500.0,14.83,24,Active,2024-12-20,2.488031914893617
LOAN70236,CUST14498,Home,1466000.0,14.62,48,Active,2024-04-15,2.550452331245651
LOAN70237,CUST14548,Personal,771900.0,12.2,36,Active,2026-05-16,9.345036319612591
LOAN70238,CUST14537,Education,248600.0,15.53,36,Active,2025-05-11,0.3062330623306233
LOAN70239,CUST13619,Personal,325900.0,15.29,48,Closed,2023-07-25,0.9653436018957346
LOAN70240,CUST12826,Auto,284400.0,9.66,36,Active,2024-06-23,0.9272905119008803
LOAN70241,CUST14936,Business,322700.0,13.46,60,Closed,2024-11-28,0.3590342679127726
LOAN70242,CUST12417,Auto,597000.0,13.56,48,Closed,2025-11-15,0.9956637758505671
LOAN70243,CUST13948,Personal,1500100.0,13.18,48,Active,2024-08-17,1.1219895287958115
LOAN70244,CUST13365,Business,297500.0,14.6,60,Closed,2024-07-30,0.35505430242272346
LOAN70245,CUST13151,Personal,109100.0,12.17,24,Active,2026-06-13,0.07101939851581825
LOAN70246,CUST14182,Business,652500.0,12.12,36,Active,2022-10-08,0.42394906113962705
LOAN70247,CUST11886,Personal,504200.0,10.86,36,Active,2024-01-06,1.0929980489919793
LOAN70248,CUST13517,Business,1061600.0,7.88,60,Active,2026-05-31,2.706782253952065
LOAN70249,CUST14574,Personal,151700.0,8.11,36,Closed,2023-03-07,0.13197042192257502
LOAN70250,CUST11399,Personal,181600.0,16.49,60,Active,2025-12-19,1.0406876790830946
LOAN70251,CUST14251,Home,277100.0,10.28,48,Active,2024-09-20,0.15627996164908917
LOAN70252,CUST11568,Auto,153400.0,13.98,60,Active,2023-01-14,0.42457791309161363
LOAN70253,CUST14475,Personal,452500.0,14.57,24,Active,2022-01-26,0.8518448795180723
LOAN70254,CUST11328,Personal,844100.0,15.71,12,Active,2025-01-23,0.8194350063100669
LOAN70255,CUST12206,Personal,328500.0,9.14,24,Active,2022-08-26,0.2149587750294464
LOAN70256,CUST14996,Personal,702800.0,13.7,84,Closed,2022-03-11,3.7989189189189188
LOAN70257,CUST14118,Business,122400.0,16.36,24,Active,2022-05-02,0.07595879359563112
LOAN70258,CUST10725,Personal,350100.0,9.05,12,Active,2025-04-27,0.45023148148148145
LOAN70259,CUST10706,Auto,436400.0,9.44,24,Active,2022-04-04,0.6883280757097792
LOAN70260,CUST13761,Home,363000.0,9.48,12,Active,2023-10-14,0.24636894258178363
LOAN70261,CUST10149,Business,793200.0,12.92,24,Closed,2026-07-10,2.4966949952785646
LOAN70262,CUST10336,Personal,980900.0,11.49,24,Active,2024-09-17,1.8327727952167414
LOAN70263,CUST12451,Personal,373800.0,8.36,48,Active,2022-08-02,0.37692850660482
LOAN70264,CUST13331,Personal,1717600.0,11.25,84,Pending,2024-08-26,8.490360850222443
LOAN70265,CUST13670,Business,1052300.0,16.48,48,Defaulted,2024-03-17,2.017446319018405
LOAN70266,CUST14595,Business,263200.0,14.32,60,Defaulted,2025-05-07,0.40479852353122114
LOAN70267,CUST12108,Education,219000.0,11.62,120,Closed,2026-05-04,0.11558558083073837
LOAN70268,CUST13873,Personal,2314000.0,9.31,24,Pending,2024-04-29,8.573545757688033
LOAN70269,CUST10417,Personal,227300.0,12.24,24,Active,2023-11-26,0.23906184265881364
LOAN70270,CUST11111,Home,330700.0,11.86,48,Active,2026-03-05,2.0720551378446115
LOAN70271,CUST10961,Personal,460500.0,9.73,36,Active,2022-12-18,0.666136265007956
LOAN70272,CUST11281,Auto,419900.0,13.89,36,Closed,2026-01-11,0.6617809298660362
LOAN70273,CUST14306,Business,1486700.0,8.52,48,Pending,2025-08-16,5.209180098107919
LOAN70274,CUST14086,Business,415700.0,13.85,24,Pending,2022-10-03,0.710962886950573
LOAN70275,CUST12018,Auto,2549600.0,9.7,60,Active,2024-06-18,6.73784355179704
LOAN70276,CUST14364,Business,3155100.0,10.42,36,Active,2023-05-13,14.11046511627907
LOAN70277,CUST13173,Auto,90600.0,17.25,12,Defaulted,2022-11-24,0.07696882168040099
LOAN70278,CUST11962,Personal,1776400.0,7.53,36,Closed,2024-01-05,3.528804131903059
LOAN70279,CUST11031,Home,275900.0,13.99,60,Active,2026-04-23,0.30916629314208877
LOAN70280,CUST10889,Home,1103900.0,9.86,36,Closed,2024-09-21,1.988292507204611
LOAN70281,CUST11055,Home,375900.0,8.12,24,Active,2026-05-09,0.7227456258411844
LOAN70282,CUST13534,Personal,732700.0,13.74,36,Active,2022-07-24,1.506373355263158
LOAN70283,CUST14058,Home,2149100.0,9.23,24,Closed,2026-07-14,2.2423831385642736
LOAN70284,CUST10919,Business,843900.0,10.37,120,Active,2023-10-30,0.6203322552190532
LOAN70285,CUST10402,Business,744800.0,9.38,60,Active,2026-02-27,1.000402955003358
LOAN70286,CUST14848,Home,1247000.0,10.85,36,Closed,2023-08-28,1.6127780651836523
LOAN70287,CUST13758,Personal,163000.0,12.05,36,Active,2022-05-26,0.22018100769958124
LOAN70288,CUST14964,Auto,316000.0,12.73,36,Active,2023-02-27,0.5287817938420348
LOAN70289,CUST13764,Home,259300.0,8.95,24,Active,2023-05-01,0.5926857142857143
LOAN70290,CUST13347,Personal,350100.0,14.66,36,Closed,2024-01-25,0.3817884405670665
LOAN70291,CUST12359,Personal,316400.0,9.48,84,Closed,2024-05-29,0.9229871645274212
LOAN70292,CUST12084,Business,255900.0,12.3,36,Active,2024-08-01,0.8134138588684043
LOAN70293,CUST13848,Personal,580900.0,10.38,48,Pending,2025-08-11,2.074642857142857
LOAN70294,CUST13268,Business,1718900.0,7.58,48,Active,2024-07-12,3.1418387863279107
LOAN70295,CUST10690,Business,146900.0,15.51,48,Closed,2025-05-27,0.17386672979050774
LOAN70296,CUST11044,Education,595200.0,13.45,36,Active,2024-08-19,2.490376569037657
