card_id,customer_id,card_type,issue_date,credit_limit,card_status,annual_fee
CARD90035,CUST11486,Credit,2025-08-16,144400.0,Active,999
CARD90036,CUST11564,Debit,2024-01-19,,Active,0
CARD90037,CUST14685,Debit,2023-08-02,,Active,0
CARD90038,CUST11676,Credit,2022-05-22,60000.0,Active,0
CARD90039,CUST11754,Credit,2024-04-15,108000.0,Expired,0
CARD90040,CUST12691,Debit,2025-12-24,,Active,0
CARD90041,CUST13548,Debit,2025-08-12,,Active,0
CARD90042,CUST11944,Debit,2025-01-16,,Active,0
CARD90043,CUST13283,Debit,2022-05-30,,Active,0
CARD90044,CUST11691,Debit,2024-10-15,,Active,0
CARD90045,CUST13231,Debit,2022-05-09,,Active,0
CARD90046,CUST13178,Debit,2022-09-26,,Active,0
CARD90047,CUST10134,Debit,2024-09-08,,Closed,0
CARD90048,CUST14784,Debit,2024-02-26,,Active,0
CARD90049,CUST11085,Debit,2024-12-30,,Active,0
CARD90050,CUST10910,Credit,2025-02-24,226100.0,Active,1499
CARD90051,CUST12742,Debit,2025-07-19,,Active,0
CARD90052,CUST13763,Credit,2023-12-13,213200.0,Active,499
CARD90053,CUST10059,Debit,2025-01-01,,Blocked,0
CARD90054,CUST14035,Debit,2022-05-22,,Expired,0
CARD90055,CUST12124,Debit,2024-08-06,,Active,0
CARD90056,CUST12753,Debit,2024-02-20,,Active,0
CARD90057,CUST11632,Debit,2023-08-06,,Active,0
CARD90058,CUST14663,Debit,2022-05-12,,Active,0
CARD90059,CUST11985,Debit,2024-10-31,,Active,0
CARD90060,CUST13487,Credit,2023-03-08,199600.0,Active,999
CARD90061,CUST14901,Debit,2023-12-21,,Active,0
CARD90062,CUST10469,Debit,2025-05-13,,Active,0
CARD90063,CUST12076,Credit,2024-01-05,108400.0,Active,1499
CARD90064,CUST11074,Debit,2024-06-08,,Active,0
CARD90065,CUST14608,Debit,2025-05-20,,Active,0
CARD90066,CUST10981,Debit,2024-02-24,,Active,0
CARD90067,CUST14712,Debit,2023-03-21,,Active,0
CARD90068,CUST11561,Debit,2022-06-30,,Active,0
CARD90069,CUST13980,Credit,2022-09-21,113200.0,Closed,1499
CARD90070,CUST12567,Debit,2023-04-18,,Active,0
CARD90071,CUST13234,Debit,2024-07-03,,Active,0
CARD90072,CUST13484,Credit,2024-12-26,140900.0,Active,0
CARD90073,CUST11625,Debit,2022-09-24,,Active,0
CARD90074,CUST13028,Credit,2023-03-26,101200.0,Active,499
CARD90075,CUST10027,Credit,2024-05-14,53500.0,Active,0
CARD90076,CUST10957,Debit,2023-08-12,,Blocked,0
CARD90077,CUST12540,Credit,2023-10-22,90700.0,Active,0
CARD90078,CUST12919,Credit,2024-05-28,72000.0,Closed,999
CARD90079,CUST10681,Debit,2025-12-30,,Active,0
CARD90080,CUST14638,Credit,2026-01-21,248200.0,Active,1499
CARD90081,CUST14565,Debit,2022-08-25,,Active,0
CARD90082,CUST14546,Debit,2025-01-02,,Blocked,0
CARD90083,CUST13166,Credit,2022-04-23,83600.0,Expired,0
CARD90084,CUST14223,Debit,2025-01-11,,Blocked,0
CARD90085,CUST11376,Credit,2022-06-28,65900.0,Active,499
CARD90086,CUST12971,Credit,2022-02-05,350000.0,Active,1499
CARD90087,CUST14330,Debit,2024-08-31,,Active,0
CARD90088,CUST12931,Debit,2025-07-20,,Active,0
CARD90089,CUST13702,Credit,2025-01-04,150200.0,Active,1499
CARD90090,CUST12166,Credit,2025-02-08,392900.0,Active,499
CARD90091,CUST10251,Debit,2023-02-16,,Closed,0
CARD90092,CUST10014,Debit,2023-02-12,,Expired,0
CARD90093,CUST10910,Credit,2023-11-12,131900.0,Active,1499
CARD90094,CUST14051,Debit,2024-10-06,,Active,0
CARD90095,CUST10100,Debit,2022-09-19,,Active,0
CARD90096,CUST11395,Debit,2025-09-10,,Active,0
CARD90097,CUST11421,Credit,2025-12-04,297700.0,Active,499
CARD90098,CUST14826,Debit,2023-07-01,,Active,0
CARD90099,CUST13685,Debit,2023-09-04,,Closed,0
CARD90100,CUST13547,Debit,2023-03-21,,Expired,0
CARD90101,CUST10233,Credit,2024-03-19,86200.0,Active,0
CARD90102,CUST11342,Debit,2025-02-13,,Closed,0
CARD90103,CUST11144,Credit,2023-09-25,48600.0,Active,0
CARD90104,CUST12109,Debit,2026-01-26,,Active,0
CARD90105,CUST11468,Credit,2022-08-30,146200.0,Active,999
CARD90106,CUST13048,Debit,2025-10-27,,Active,0
CARD90107,CUST13351,Debit,2022-06-30,,Active,0
CARD90108,CUST10257,Debit,2023-02-25,,Blocked,0
CARD90109,CUST13149,Debit,2022-09-06,,Active,0
CARD90110,CUST11771,Debit,2025-10-08,,Active,0
CARD90111,CUST10786,Debit,2023-11-25,,Active,0
CARD90112,CUST10487,Debit,2025-11-10,,Active,0
CARD90113,CUST14648,Debit,2025-07-19,,Blocked,0
CARD90114,CUST13997,Debit,2023-12-12,,Active,0
CARD90115,CUST12291,Credit,2023-10-11,185400.0,Active,1499
CARD90116,CUST12306,Credit,2023-02-23,303400.0,Expired,999
CARD90117,CUST12030,Credit,2025-10-15,125200.0,Blocked,1499
CARD90118,CUST11550,Credit,2022-07-07,137300.0,Active,0
CARD90119,CUST11277,Debit,2025-06-01,,Active,0
CARD90120,CUST10995,Debit,2025-09-02,,Active,0
CARD90121,CUST12972,Debit,2022-02-14,,Blocked,0
CARD90122,CUST14446,Debit,2022-03-01,,Expired,0
CARD90123,CUST14134,Debit,2022-01-16,,Active,0
CARD90124,CUST13560,Credit,2022-01-24,73800.0,Active,499
CARD90125,CUST11832,Credit,2022-01-24,228500.0,Active,1499
CARD90126,CUST13270,Debit,2023-11-27,,Active,0
CARD90127,CUST11857,Debit,2023-10-25,,Active,0
CARD90128,CUST12901,Debit,2022-04-22,,Active,0
CARD90129,CUST13404,Debit,2025-06-26,,Blocked,0
CARD90130,CUST13864,Credit,2023-12-09,98500.0,Active,0
CARD90131,CUST12910,Credit,2023-07-04,109200.0,Active,1499
CARD90132,CUST12535,Debit,2022-11-20,,Active,0
CARD90133,CUST13544,Debit,2025-04-30,,Active,0
CARD90134,CUST14195,Debit,2024-01-13,,Active,0
CARD90135,CUST10728,Credit,2022-08-22,173600.0,Active,0
CARD90136,CUST10860,Credit,2023-07-04,80300.0,Blocked,1499
CARD90137,CUST10603,Debit,2023-12-09,,Active,0
CARD90138,CUST12054,Debit,2024-08-27,,Active,0
CARD90139,CUST14340,Credit,2022-09-29,67600.0,Active,999
CARD90140,CUST13184,Credit,2024-10-10,159300.0,Active,0
CARD90141,CUST11203,Debit,2023-03-11,,Active,0
CARD90142,CUST10105,Debit,2025-04-28,,Active,0
CARD90143,CUST12505,Debit,2024-02-11,,Active,0
CARD90144,CUST12010,Debit,2024-03-08,,Closed,0
CARD90145,CUST13009,Debit,2024-12-10,,Active,0
CARD90146,CUST12489,Debit,2022-08-27,,Active,0
CARD90147,CUST10410,Credit,2025-11-06,202700.0,Active,499
CARD90148,CUST12798,Debit,2023-04-12,,Active,0
CARD90149,CUST14873,Credit,2023-08-08,417900.0,Active,499
CARD90150,CUST14391,Debit,2022-08-11,,Active,0
CARD90151,CUST12726,Debit,2025-07-03,,Active,0
CARD90152,CUST10636,Debit,2022-05-15,,Expired,0
CARD90153,CUST12508,Debit,2023-06-01,,Active,0
CARD90154,CUST13566,Credit,2024-05-17,250400.0,Active,1499
CARD90155,CUST11201,Debit,2025-12-02,,Active,0
CARD90156,CUST11743,Debit,2022-12-19,,Active,0
CARD90157,CUST10920,Debit,2025-12-19,,Active,0
CARD90158,CUST10009,Credit,2022-12-28,83200.0,Closed,0
CARD90159,CUST12584,Debit,2023-11-16,,Active,0
CARD90160,CUST11228,Credit,2023-03-15,132900.0,Active,0
CARD90161,CUST10583,Credit,2024-11-29,139000.0,Expired,1499
CARD90162,CUST14113,Debit,2022-09-08,,Active,0
CARD90163,CUST14222,Credit,2024-04-19,71000.0,Expired,499
CARD90164,CUST13923,Credit,2024-11-28,98500.0,Blocked,999
CARD90165,CUST13596,Credit,2025-05-12,232900.0,Blocked,499
CARD90166,CUST12640,Credit,2023-11-19,206200.0,Active,499
CARD90167,CUST12445,Debit,2025-05-23,,Closed,0
CARD90168,CUST12721,Credit,2024-07-16,228300.0,Active,0
CARD90169,CUST10392,Debit,2024-01-13,,Active,0
CARD90170,CUST10095,Credit,2023-01-26,168300.0,Active,0
CARD90171,CUST14899,Debit,2024-09-09,,Active,0
CARD90172,CUST10188,Debit,2023-03-11,,Active,0
CARD90173,CUST12617,Credit,2023-03-30,209800.0,Blocked,499
CARD90174,CUST13709,Debit,2023-11-11,,Active,0
CARD90175,CUST12566,Debit,2024-03-10,,Active,0
CARD90176,CUST13082,Debit,2024-05-08,,Active,0
CARD90177,CUST11715,Debit,2022-04-19,,Active,0
CARD90178,CUST12125,Debit,2026-01-11,,Active,0
CARD90179,CUST13977,Debit,2022-01-12,,Active,0
CARD90180,CUST14004,Credit,2022-04-30,110400.0,Active,499
CARD90181,CUST12137,Debit,2024-10-28,,Blocked,0
CARD90182,CUST11268,Credit,2025-03-06,281800.0,Active,0
CARD90183,CUST12667,Debit,2024-01-04,,Active,0
CARD90184,CUST11482,Credit,2024-04-28,140100.0,Active,999
CARD90185,CUST12948,Debit,2022-03-09,,Expired,0
CARD90186,CUST13878,Credit,2024-02-02,103900.0,Active,499
CARD90187,CUST12312,Debit,2026-01-30,,Active,0
CARD90188,CUST13635,Debit,2023-06-03,,Active,0
CARD90189,CUST14806,Debit,2026-01-01,,Active,0
CARD90190,CUST13694,Debit,2024-05-01,,Active,0
CARD90191,CUST12214,Debit,2024-07-29,,Closed,0
CARD90192,CUST13011,Debit,2024-05-14,,Active,0
CARD90193,CUST12230,Credit,2023-01-10,173300.0,Active,1499
CARD90194,CUST13622,Debit,2024-01-26,,Closed,0
CARD90195,CUST13331,Debit,2025-02-02,,Closed,0
CARD90196,CUST12551,Debit,2025-04-10,,Active,0
CARD90197,CUST10058,Debit,2023-06-02,,Expired,0
CARD90198,CUST11302,Debit,2024-09-27,,Active,0
CARD90199,CUST12598,Credit,2024-01-24,547400.0,Blocked,999
CARD90200,CUST14276,Debit,2024-03-08,,Blocked,0
CARD90201,CUST11203,Debit,2025-12-05,,Active,0
CARD90202,CUST11903,Debit,2023-03-28,,Closed,0
CARD90203,CUST12135,Debit,2025-10-06,,Active,0
CARD90204,CUST13449,Debit,2025-02-24,,Active,0
CARD90205,CUST14201,Debit,2022-05-13,,Active,0
CARD90206,CUST12749,Debit,2024-01-13,,Active,0
CARD90207,CUST10847,Debit,2024-01-13,,Active,0
CARD90208,CUST13843,Debit,2022-05-21,,Active,0
CARD90209,CUST11318,Debit,2023-07-08,,Active,0
CARD90210,CUST11271,Credit,2023-10-29,212900.0,Active,999
CARD90211,CUST12907,Credit,2023-02-13,284500.0,Active,499
CARD90212,CUST10938,Credit,2024-05-13,160600.0,Active,499
CARD90213,CUST10561,Debit,2023-09-02,,Expired,0
CARD90214,CUST12835,Debit,2025-07-12,,Active,0
CARD90215,CUST13845,Credit,2022-10-17,361800.0,Blocked,499
CARD90216,CUST11643,Debit,2025-01-21,,Active,0
CARD90217,CUST13994,Credit,2022-02-24,174400.0,Active,1499
CARD90218,CUST11263,Debit,2025-10-23,,Active,0
CARD90219,CUST10564,Credit,2022-11-23,119600.0,Active,1499
CARD90220,CUST13645,Debit,2022-05-01,,Closed,0
CARD90221,CUST12804,Credit,2025-01-18,130200.0,Expired,999
CARD90222,CUST10631,Credit,2023-04-05,289900.0,Active,0
CARD90223,CUST12013,Credit,2026-01-09,241900.0,Active,499
CARD90224,CUST12818,Debit,2023-05-10,,Closed,0
CARD90225,CUST12625,Debit,2022-05-12,,Active,0
CARD90226,CUST10790,Debit,2025-07-28,,Active,0
CARD90227,CUST14809,Debit,2022-05-12,,Closed,0
CARD90228,CUST13126,Debit,2022-08-23,,Active,0
CARD90229,CUST10368,Credit,2023-04-10,126200.0,Active,0
CARD90230,CUST10381,Debit,2025-07-14,,Active,0
CARD90231,CUST14151,Debit,2024-01-04,,Closed,0
CARD90232,CUST10746,Credit,2022-09-13,110100.0,Closed,999
CARD90233,CUST11936,Debit,2023-05-05,,Active,0
CARD90234,CUST11402,Debit,2025-06-27,,Active,0
CARD90235,CUST13377,Debit,2022-05-27,,Active,0
CARD90236,CUST14110,Debit,2025-07-21,,Active,0
CARD90237,CUST12821,Credit,2023-09-05,64700.0,Blocked,499
CARD90238,CUST14239,Debit,2023-06-29,,Expired,0
CARD90239,CUST13764,Debit,2024-11-06,,Active,0
CARD90240,CUST10434,Credit,2024-08-13,176900.0,Active,1499
CARD90241,CUST13327,Debit,2025-08-18,,Expired,0
CARD90242,CUST13291,Debit,2025-11-06,,Active,0
CARD90243,CUST10136,Debit,2025-07-17,,Active,0
CARD90244,CUST14757,Credit,2023-01-28,238000.0,Active,0
CARD90245,CUST13167,Debit,2026-01-28,,Expired,0
CARD90246,CUST11520,Debit,2022-03-05,,Expired,0
CARD90247,CUST10661,Debit,2025-04-20,,Active,0
CARD90248,CUST11208,Credit,2023-05-03,158600.0,Blocked,999
CARD90249,CUST10388,Credit,2025-04-19,334500.0,Closed,0
CARD90250,CUST11030,Debit,2022-08-03,,Active,0
CARD90251,CUST13637,Debit,2025-10-30,,Active,0
CARD90252,CUST11167,Debit,2023-02-15,,Active,0
CARD90253,CUST12051,Debit,2023-07-11,,Active,0
CARD90254,CUST11849,Credit,2024-03-04,176900.0,Closed,1499
CARD90255,CUST12987,Credit,2024-10-29,264200.0,Active,999
CARD90256,CUST14967,Debit,2023-10-19,,Active,0
CARD90257,CUST10148,Debit,2023-11-18,,Closed,0
CARD90258,CUST12631,Debit,2023-02-02,,Blocked,0
CARD90259,CUST10737,Debit,2024-03-13,,Active,0
CARD90260,CUST14752,Credit,2025-05-30,210100.0,Active,1499
CARD90261,CUST11233,Credit,2023-12-24,161400.0,Active,1499
CARD90262,CUST12695,Debit,2024-09-13,,Active,0
CARD90263,CUST13081,Debit,2022-04-11,,Active,0
CARD90264,CUST12417,Debit,2022-02-18,,Active,0
CARD90265,CUST13846,Debit,2023-01-29,,Active,0
CARD90266,CUST12916,Debit,2023-05-01,,Active,0
CARD90267,CUST11276,Debit,2025-05-27,,Active,0
CARD90268,CUST12055,Credit,2024-09-20,196400.0,Expired,499
CARD90269,CUST13881,Debit,2023-01-13,,Expired,0
CARD90270,CUST12225,Credit,2025-12-28,42900.0,Active,999
CARD90271,CUST14637,Debit,2024-01-28,,Expired,0
CARD90272,CUST14797,Credit,2022-11-25,195200.0,Active,999
CARD90273,CUST14313,Debit,2025-04-28,,Active,0
CARD90274,CUST14781,Debit,2024-11-29,,Active,0
CARD90275,CUST11544,Credit,2022-02-15,105700.0,Blocked,499
CARD90276,CUST11206,Credit,2022-11-18,35000.0,Active,1499
CARD90277,CUST12417,Debit,2023-09-01,,Active,0
CARD90278,CUST12769,Debit,2024-02-19,,Active,0
CARD90279,CUST10889,Credit,2022-05-12,160500.0,Active,1499
CARD90280,CUST12936,Credit,2023-02-03,147900.0,Active,0
CARD90281,CUST13508,Debit,2022-03-06,,Active,0
CARD90282,CUST11424,Debit,2025-08-05,,Active,0
CARD90283,CUST13542,Debit,2025-10-18,,Active,0
CARD90284,CUST11586,Debit,2022-06-14,,Active,0
CARD90286,CUST14921,Debit,2023-04-20,,Active,0
CARD90287,CUST12841,Credit,2024-04-26,254300.0,Active,1499
CARD90288,CUST10523,Debit,2022-12-13,,Active,0
CARD90289,CUST10936,Debit,2026-01-01,,Closed,0
CARD90290,CUST14022,Debit,2022-09-13,,Active,0
CARD90291,CUST14839,Debit,2023-09-12,,Active,0
CARD90292,CUST13598,Credit,2025-04-07,189500.0,Active,1499
CARD90293,CUST12938,Debit,2022-01-28,,Active,0
CARD90294,CUST11705,Credit,2023-11-23,124100.0,Closed,0
CARD90295,CUST10416,Debit,2024-10-07,,Active,0
CARD90296,CUST13643,Debit,2022-12-05,,Active,0
CARD90297,CUST12038,Debit,2025-11-21,,Expired,0
CARD90298,CUST12558,Debit,2022-06-22,,Active,0
CARD90299,CUST10136,Debit,2022-07-26,,Active,0
CARD90300,CUST10125,Debit,2023-02-15,,Closed,0
CARD90301,CUST10097,Credit,2022-10-19,143400.0,Active,0
CARD90302,CUST12901,Debit,2022-03-08,,Active,0
CARD90303,CUST14612,Credit,2025-02-22,67200.0,Active,999
CARD90304,CUST14570,Debit,2025-04-14,,Closed,0
CARD90305,CUST10906,Credit,2023-03-02,137500.0,Active,999
CARD90306,CUST11019,Debit,2022-06-10,,Active,0
CARD90307,CUST11641,Debit,2023-03-28,,Active,0
CARD90308,CUST13914,Credit,2024-04-12,227800.0,Active,499
CARD90309,CUST10695,Credit,2022-08-15,82300.0,Active,1499
CARD90310,CUST10115,Credit,2022-09-04,150400.0,Active,0
CARD90311,CUST12154,Credit,2022-09-03,369400.0,Active,0
CARD90312,CUST14286,Debit,2024-03-28,,Closed,0
CARD90313,CUST13157,Debit,2025-12-22,,Active,0
CARD90314,CUST12134,Credit,2022-03-18,120300.0,Active,0
CARD90315,CUST14649,Debit,2022-02-26,,Active,0
CARD90316,CUST10431,Debit,2026-01-22,,Active,0
CARD90317,CUST10771,Debit,2023-05-12,,Active,0
CARD90318,CUST14821,Debit,2023-04-13,,Active,0
CARD90319,CUST11350,Debit,2025-12-24,,Expired,0
CARD90320,CUST13980,Debit,2025-06-09,,Active,0
CARD90321,CUST12591,Debit,2024-01-24,,Active,0
CARD90322,CUST14887,Debit,2023-02-17,,Active,0
CARD90323,CUST10371,Debit,2022-08-11,,Expired,0
CARD90324,CUST13627,Debit,2022-09-16,,Expired,0
CARD90325,CUST10272,Debit,2024-03-03,,Active,0
CARD90326,CUST10103,Credit,2025-12-27,105600.0,Active,1499
CARD90327,CUST12506,Debit,2023-04-30,,Active,0
CARD90328,CUST11532,Debit,2023-07-13,,Active,0
CARD90329,CUST14325,Credit,2022-12-01,129300.0,Active,1499
CARD90330,CUST10931,Debit,2023-03-05,,Active,0
CARD90331,CUST11381,Credit,2024-09-10,100900.0,Active,1499
CARD90332,CUST11852,Debit,2025-08-06,,Active,0
CARD90333,CUST11285,Credit,2023-05-31,176300.0,Active,499
CARD90334,CUST13291,Debit,2023-06-08,,Active,0
CARD90335,CUST10341,Credit,2024-04-12,336700.0,Active,1499
CARD90336,CUST14470,Credit,2022-03-06,147000.0,Active,999
CARD90337,CUST10343,Credit,2023-01-19,66600.0,Active,999
CARD90338,CUST10822,Debit,2022-03-24,,Active,0
CARD90339,CUST11757,Credit,2025-01-16,153100.0,Active,499
CARD90340,CUST12592,Debit,2023-05-05,,Active,0
CARD90341,CUST11736,Credit,2023-05-19,259900.0,Active,1499
CARD90342,CUST12997,Credit,2024-04-19,148400.0,Active,999
CARD90343,CUST10164,Credit,2024-09-06,94400.0,Active,0
CARD90344,CUST11493,Debit,2022-08-15,,Active,0
CARD90345,CUST11644,Debit,2025-07-19,,Active,0
CARD90346,CUST10751,Credit,2022-12-18,82600.0,Active,499
CARD90347,CUST13056,Debit,2025-04-05,,Closed,0
CARD90348,CUST13064,Credit,2023-01-07,260600.0,Active,0
CARD90349,CUST12337,Debit,2025-04-03,,Active,0
CARD90350,CUST11221,Credit,2024-02-13,232700.0,Active,999
CARD90351,CUST11975,Credit,2024-09-19,474800.0,Active,1499
CARD90352,CUST13941,Debit,2025-07-20,,Active,0
CARD90353,CUST11328,Credit,2023-02-03,188700.0,Blocked,499
CARD90354,CUST10566,Debit,2026-01-06,,Active,0
CARD90355,CUST11243,Debit,2024-09-12,,Active,0
CARD90356,CUST12361,Debit,2022-10-30,,Closed,0
CARD90357,CUST14329,Debit,2022-04-04,,Active,0
CARD90358,CUST14197,Debit,2023-10-12,,Active,0
CARD90359,CUST12571,Debit,2023-09-01,,Closed,0
CARD90360,CUST14997,Debit,2026-01-14,,Expired,0
CARD90361,CUST14890,Debit,2025-11-03,,Active,0
CARD90362,CUST10115,Debit,2023-10-06,,Active,0
CARD90363,CUST12911,Credit,2022-06-16,507600.0,Active,999
CARD90364,CUST10760,Credit,2025-01-22,57200.0,Active,999
CARD90365,CUST10746,Debit,2024-11-10,,Active,0
CARD90366,CUST11439,Credit,2022-09-05,158900.0,Active,499
CARD90367,CUST12308,Credit,2023-01-19,525200.0,Active,499
CARD90368,CUST12076,Credit,2023-04-20,173000.0,Active,499
CARD90369,CUST11185,Debit,2024-11-15,,Active,0
CARD90370,CUST13905,Credit,2025-03-13,147300.0,Active,499
CARD90371,CUST14962,Debit,2022-02-14,,Active,0
CARD90372,CUST14619,Debit,2024-12-25,,Active,0
CARD90373,CUST11511,Credit,2024-10-14,85100.0,Closed,0
CARD90374,CUST10671,Debit,2022-02-16,,Expired,0
CARD90375,CUST10233,Credit,2025-03-16,190800.0,Active,1499
CARD90376,CUST12107,Credit,2023-03-05,82500.0,Active,1499
CARD90377,CUST11109,Debit,2023-11-30,,Active,0
CARD90378,CUST13543,Debit,2022-04-15,,Active,0
CARD90379,CUST14319,Debit,2025-07-08,,Expired,0
CARD90380,CUST10038,Credit,2025-02-03,89400.0,Active,999
CARD90381,CUST12145,Credit,2023-03-10,135900.0,Blocked,0
CARD90382,CUST12330,Credit,2023-06-06,298100.0,Closed,0
CARD90383,CUST10322,Credit,2022-04-30,273900.0,Active,499
CARD90384,CUST12555,Credit,2022-04-22,83200.0,Active,1499
CARD90385,CUST11030,Credit,2025-03-30,226200.0,Active,499
CARD90386,CUST10157,Debit,2022-07-21,,Active,0
CARD90387,CUST14360,Debit,2024-08-15,,Active,0
CARD90388,CUST13047,Credit,2024-01-29,223600.0,Expired,0
CARD90389,CUST11510,Credit,2022-08-04,238500.0,Active,1499
CARD90390,CUST12192,Debit,2023-02-11,,Expired,0
CARD90391,CUST11647,Debit,2022-09-22,,Expired,0
CARD90392,CUST12194,Debit,2023-02-09,,Active,0
CARD90393,CUST11044,Debit,2022-10-04,,Active,0
CARD90394,CUST10677,Debit,2022-05-31,,Active,0
CARD90395,CUST14103,Credit,2022-10-03,206000.0,Active,999
CARD90396,CUST11178,Debit,2025-02-08,,Expired,0
CARD90397,CUST11168,Credit,2023-12-10,326200.0,Active,499
CARD90398,CUST11907,Credit,2025-06-10,282400.0,Blocked,0
CARD90399,CUST12279,Debit,2023-06-07,,Active,0
CARD90400,CUST13992,Debit,2024-05-10,,Active,0
CARD90401,CUST14055,Debit,2025-10-19,,Active,0
CARD90402,CUST11425,Credit,2026-01-26,224600.0,Closed,999
CARD90403,CUST14458,Credit,2025-01-09,273000.0,Closed,0
CARD90404,CUST11091,Debit,2024-01-01,,Active,0
CARD90405,CUST13544,Credit,2024-05-22,53700.0,Active,1499
CARD90406,CUST13652,Credit,2022-09-25,209400.0,Active,499
CARD90407,CUST14039,Debit,2025-10-28,,Active,0
CARD90408,CUST13505,Credit,2022-04-23,129700.0,Active,0
CARD90409,CUST12795,Debit,2025-03-12,,Active,0
CARD90410,CUST11465,Credit,2025-06-29,127200.0,Active,1499
CARD90411,CUST13011,Debit,2025-01-22,,Active,0
CARD90412,CUST10256,Credit,2022-08-22,45800.0,Active,0
CARD90413,CUST12399,Credit,2025-04-16,343600.0,Active,0
CARD90414,CUST12836,Debit,2022-05-11,,Active,0
CARD90415,CUST11176,Debit,2022-02-22,,Active,0
CARD90416,CUST14927,Credit,2024-12-07,92100.0,Active,999
CARD90417,CUST13931,Debit,2025-08-10,,Active,0
CARD90418,CUST14021,Debit,2025-06-25,,Active,0
CARD90419,CUST12336,Debit,2022-12-12,,Active,0
CARD90420,CUST14374,Debit,2023-03-04,,Active,0
CARD90421,CUST11700,Credit,2026-01-30,201900.0,Active,1499
CARD90422,CUST13475,Credit,2022-10-08,307500.0,Closed,1499
CARD90423,CUST14891,Debit,2022-04-11,,Active,0
CARD90424,CUST11893,Debit,2024-07-05,,Closed,0
CARD90425,CUST12426,Credit,2025-10-03,174900.0,Active,999
CARD90426,CUST12129,Debit,2022-10-26,,Active,0
CARD90427,CUST11576,Debit,2024-10-12,,Expired,0
CARD90428,CUST10546,Debit,2023-02-24,,Active,0
CARD90429,CUST12643,Debit,2024-03-22,,Active,0
CARD90430,CUST11931,Credit,2025-11-04,185000.0,Active,0
CARD90431,CUST10990,Credit,2025-10-01,78800.0,Active,999
CARD90432,CUST10975,Debit,2022-06-28,,Active,0
CARD90433,CUST13907,Debit,2024-07-31,,Active,0
CARD90434,CUST12179,Credit,2025-11-07,124700.0,Active,999
CARD90435,CUST14602,Debit,2023-12-30,,Active,0
CARD90436,CUST13344,Credit,2022-12-26,261600.0,Active,999
CARD90437,CUST12220,Credit,2026-01-21,88400.0,Active,999
CARD90438,CUST12740,Credit,2024-10-14,44100.0,Closed,0
CARD90439,CUST11299,Credit,2022-09-17,112800.0,Active,999
CARD90440,CUST11525,Credit,2023-08-08,150400.0,Active,499
CARD90441,CUST12852,Credit,2022-10-06,190600.0,Active,1499
CARD90442,CUST10237,Debit,2022-07-11,,Active,0
CARD90443,CUST12764,Credit,2022-04-21,100000.0,Active,499
CARD90444,CUST13814,Debit,2023-11-30,,Active,0
CARD90445,CUST14607,Credit,2024-12-14,207900.0,Active,499
CARD90446,CUST13038,Credit,2022-12-20,135200.0,Active,499
CARD90447,CUST13610,Credit,2025-11-25,125900.0,Active,999
CARD90448,CUST12887,Credit,2022-04-05,163500.0,Expired,1499
CARD90449,CUST13629,Debit,2023-12-23,,Active,0
CARD90450,CUST10559,Debit,2025-01-07,,Active,0
CARD90451,CUST12472,Debit,2024-06-08,,Active,0
CARD90452,CUST12757,Credit,2023-08-07,231400.0,Active,499
