account_id,customer_id,account_type,opening_date,balance,account_status
ACC20064,CUST14692,Savings,2021-05-15,-500.0,Dormant
ACC20065,CUST14928,Premium Savings,2026-03-19,27841.99,Active
ACC20066,CUST12890,Savings,2023-03-29,70399.45,Active
ACC20067,CUST13458,Salary,2025-10-27,63817.87,Inactive
ACC20068,CUST11805,Salary,2021-12-14,29459.83,Closed
ACC20069,CUST13400,Salary,2023-09-03,43467.65,Inactive
ACC20070,CUST14169,Premium Savings,2024-09-28,53058.17,Active
ACC20071,CUST11618,Savings,2022-10-06,47793.85,Active
ACC20072,CUST14034,Salary,2022-02-23,15296.86,Active
ACC20073,CUST11737,Premium Savings,2025-12-12,65505.25,Active
ACC20074,CUST11989,Current,2023-05-26,43434.92,Active
ACC20075,CUST12370,Salary,2023-10-22,259079.73,Inactive
ACC20076,CUST14724,Savings,2025-10-11,57382.58,Active
ACC20077,CUST10133,Salary,2022-10-15,5573.21,Active
ACC20078,CUST14508,Savings,2025-01-09,262002.06,Active
ACC20079,CUST12289,Savings,2022-12-14,49970.1,Active
ACC20080,CUST11190,Savings,2021-06-28,14698.99,Active
ACC20081,CUST14570,Premium Savings,2021-08-03,28018.27,Active
ACC20082,CUST12135,Premium Savings,2023-05-04,111982.48,Dormant
ACC20083,CUST14685,Premium Savings,2026-04-19,13435.41,Active
ACC20084,CUST11580,Salary,2021-07-30,12926.85,Active
ACC20085,CUST13726,Premium Savings,2021-09-20,8819.99,Active
ACC20086,CUST12960,Salary,2024-02-08,213753.04,Active
ACC20087,CUST10379,Savings,2021-06-10,15200.58,Active
ACC20088,CUST10074,Premium Savings,2023-08-22,265177.75,Dormant
ACC20089,CUST11472,Savings,2022-03-11,134553.99,Active
ACC20090,CUST14482,Premium Savings,2021-04-12,41995.68,Active
ACC20091,CUST14310,Savings,2023-07-30,45249.49,Active
ACC20092,CUST10273,Savings,2022-08-09,11742.82,Active
ACC20093,CUST11497,Savings,2024-03-15,40005.14,Active
ACC20094,CUST11904,Savings,2024-11-05,49650.22,Active
ACC20095,CUST14630,Savings,2025-12-14,6379.17,Active
ACC20096,CUST13024,Salary,2024-07-19,15498.9,Active
ACC20097,CUST12149,Current,2025-01-23,27926.76,Active
ACC20098,CUST11424,Savings,2025-03-31,41460.36,Active
ACC20099,CUST10394,Savings,2025-10-06,114306.28,Active
ACC20100,CUST11434,Current,2025-01-30,114908.39,Active
ACC20101,CUST11556,Salary,2026-01-09,45249.49,Active
ACC20102,CUST14031,Savings,2024-02-11,25101.12,Active
ACC20103,CUST11977,Savings,2021-01-10,25307.68,Active
ACC20104,CUST12571,Salary,2026-07-31,38962.88,Active
ACC20105,CUST10113,Premium Savings,2025-07-10,71614.28,Active
ACC20106,CUST11587,Salary,2021-09-06,14572.95,Active
ACC20107,CUST14434,Savings,2024-06-22,15672.73,Active
ACC20108,CUST13378,Salary,2021-08-20,241038.45,Active
ACC20109,CUST11454,Salary,2021-07-25,20890.12,Active
ACC20110,CUST12009,Salary,2026-04-11,235466.96,Dormant
ACC20111,CUST11917,Savings,2023-07-23,181100.1,Active
ACC20112,CUST11115,Savings,2023-06-26,12919.75,Active
ACC20113,CUST11992,Current,2025-06-22,26767.19,Active
ACC20114,CUST14505,Savings,2025-12-12,115525.27,Active
ACC20115,CUST12709,Savings,2023-07-15,136420.21,Active
ACC20116,CUST14401,Salary,2022-05-09,176477.24,Dormant
ACC20117,CUST11675,Savings,2021-05-31,34577.35,Active
ACC20118,CUST12384,Current,2025-07-14,19152.06,Active
ACC20119,CUST12408,Premium Savings,2024-01-19,31540.43,Active
ACC20120,CUST14206,Savings,2026-03-13,51224.68,Active
ACC20121,CUST10880,Savings,2023-11-04,30136.0,Active
ACC20122,CUST12526,Salary,2021-08-16,22347.79,Active
ACC20123,CUST11685,Savings,2022-11-24,67429.25,Active
ACC20124,CUST11321,Premium Savings,2021-03-15,36980.46,Active
ACC20125,CUST12937,Premium Savings,2024-05-16,23716.46,Active
ACC20126,CUST14815,Salary,2023-10-12,142079.8,Active
ACC20127,CUST12238,Savings,2024-11-14,78985.9,Active
ACC20128,CUST14164,Premium Savings,2022-05-30,42815.02,Closed
ACC20129,CUST13907,Current,2022-08-27,31870.14,Active
ACC20130,CUST12354,Savings,2024-08-24,30367.53,Active
ACC20131,CUST10137,Salary,2022-03-11,14980.48,Active
ACC20132,CUST10251,Savings,2023-04-03,33278.56,Dormant
ACC20133,CUST10008,Current,2022-08-09,45249.49,Active
ACC20134,CUST10221,Current,2025-10-23,65535.5,Active
ACC20135,CUST12619,Current,2022-05-26,41980.91,Active
ACC20136,CUST11495,Savings,2021-04-22,57606.45,Active
ACC20137,CUST12755,Savings,2023-06-15,17669.86,Active
ACC20138,CUST10330,Salary,2024-04-25,132421.43,Active
ACC20139,CUST13255,Savings,2026-06-06,20810.62,Active
ACC20140,CUST13725,Savings,2021-10-15,30487.77,Active
ACC20141,CUST14367,Premium Savings,2022-08-24,69260.43,Active
ACC20142,CUST13840,Savings,2022-06-12,36191.85,Active
ACC20143,CUST12027,Current,2021-04-19,4293.22,Closed
ACC20144,CUST13315,Savings,2026-03-09,56973.57,Active
ACC20145,CUST14594,Premium Savings,2021-04-21,24576.14,Inactive
ACC20146,CUST13867,Premium Savings,2025-12-14,42917.1,Inactive
ACC20147,CUST11204,Savings,2024-01-03,140137.81,Active
ACC20148,CUST11860,Savings,2025-05-17,31051.18,Active
ACC20149,CUST10900,Savings,2022-07-14,149801.9,Active
ACC20150,CUST11520,Current,2021-07-01,70661.66,Inactive
ACC20151,CUST14380,Savings,2025-08-25,45249.49,Active
ACC20152,CUST12732,Salary,2023-07-18,45249.49,Dormant
ACC20153,CUST14133,Current,2025-11-01,9131.37,Inactive
ACC20154,CUST12660,Savings,2024-02-04,229119.08,Active
ACC20155,CUST14779,Savings,2021-03-10,42263.76,Active
ACC20156,CUST11481,Current,2023-12-02,275689.28,Active
ACC20157,CUST12944,Savings,2025-10-13,40391.89,Dormant
ACC20158,CUST11374,Premium Savings,2023-09-07,4199.33,Active
ACC20159,CUST13662,Savings,2024-09-04,45693.93,Active
ACC20160,CUST11184,Savings,2023-03-14,18635.81,Dormant
ACC20161,CUST14427,Savings,2025-08-10,7958.1,Active
ACC20162,CUST10782,Savings,2021-03-01,60862.93,Active
ACC20163,CUST11941,Premium Savings,2022-06-05,78695.96,Active
ACC20164,CUST12920,Savings,2022-05-09,22008.08,Dormant
ACC20165,CUST14096,Savings,2025-08-15,40827.13,Active
ACC20166,CUST11867,Current,2026-03-31,62626.7,Active
ACC20167,CUST13461,Savings,2023-10-20,59123.22,Active
ACC20168,CUST12365,Savings,2021-04-12,436474.21,Active
ACC20169,CUST11908,Savings,2023-12-08,8667.37,Active
ACC20170,CUST12710,Savings,2024-08-16,327793.04,Dormant
ACC20171,CUST10510,Savings,2026-05-18,14177.45,Active
ACC20172,CUST10679,Savings,2024-12-10,89142.66,Closed
ACC20173,CUST14065,Savings,2026-01-01,34266.28,Inactive
ACC20174,CUST12261,Salary,2024-04-08,27389.47,Active
ACC20175,CUST12555,Current,2021-05-17,22007.3,Active
ACC20176,CUST14600,Premium Savings,2025-10-22,59229.28,Active
ACC20177,CUST14832,Savings,2022-03-30,46704.87,Active
ACC20178,CUST10248,Savings,2026-06-12,17319.73,Dormant
ACC20179,CUST11143,Savings,2024-08-23,46339.22,Active
ACC20180,CUST12521,Savings,2024-09-25,25818.94,Active
ACC20181,CUST10094,Savings,2023-10-08,20765.21,Active
ACC20182,CUST10825,Savings,2023-01-09,37230.14,Active
ACC20183,CUST13421,Current,2021-07-20,61709.49,Active
ACC20184,CUST10194,Savings,2024-07-20,375884.8,Active
ACC20185,CUST11303,Salary,2023-07-09,37342.26,Active
ACC20186,CUST13101,Salary,2022-03-31,42162.89,Active
ACC20187,CUST10659,Savings,2021-12-26,59245.24,Dormant
ACC20188,CUST11475,Premium Savings,2021-09-06,82309.5,Active
ACC20189,CUST13529,Savings,2024-02-21,69134.91,Active
ACC20190,CUST14019,Savings,2024-07-12,16552.52,Active
ACC20191,CUST11614,Current,2026-01-11,34219.2,Active
ACC20192,CUST14355,Savings,2024-07-17,65091.9,Active
ACC20193,CUST11242,Savings,2024-11-22,162413.1,Active
ACC20194,CUST11040,Savings,2025-06-16,25157.92,Active
ACC20195,CUST13490,Current,2021-03-21,27543.67,Dormant
ACC20196,CUST12965,Current,2026-06-25,64794.71,Active
ACC20197,CUST10513,Savings,2024-12-29,149341.03,Active
ACC20198,CUST11404,Premium Savings,2024-01-26,44270.94,Active
ACC20199,CUST11204,Salary,2022-02-14,52790.52,Active
ACC20200,CUST13554,Savings,2023-01-12,189339.17,Inactive
ACC20201,CUST13257,Current,2021-07-19,102327.85,Active
ACC20202,CUST12520,Savings,2021-10-10,217665.32,Active
ACC20203,CUST14875,Current,2022-08-18,31837.27,Active
ACC20204,CUST11907,Savings,2025-12-21,217575.28,Active
ACC20205,CUST13065,Savings,2024-04-17,34658.17,Active
ACC20206,CUST14359,Salary,2023-08-09,546146.78,Active
ACC20207,CUST14816,Savings,2025-02-17,21854.5,Dormant
ACC20208,CUST13075,Savings,2024-03-15,74242.73,Active
ACC20209,CUST10226,Savings,2024-03-23,69786.67,Active
ACC20210,CUST11070,Salary,2022-05-16,100391.64,Active
ACC20211,CUST11382,Salary,2025-06-03,65181.87,Active
ACC20212,CUST11254,Salary,2025-06-08,75325.59,Active
ACC20213,CUST12697,Premium Savings,2023-09-28,103181.14,Active
ACC20214,CUST11224,Current,2021-04-01,30682.48,Active
ACC20215,CUST10174,Premium Savings,2021-09-29,44097.33,Active
ACC20216,CUST10276,Premium Savings,2022-12-17,83612.9,Inactive
ACC20217,CUST11608,Savings,2024-07-25,8109.95,Active
ACC20218,CUST12550,Savings,2022-04-15,122464.38,Active
ACC20219,CUST14039,Savings,2021-10-26,457242.48,Active
ACC20220,CUST12237,Current,2026-05-23,38487.17,Active
ACC20221,CUST13864,Savings,2022-10-09,44347.75,Active
ACC20222,CUST14889,Current,2023-10-08,101544.82,Active
ACC20223,CUST11123,Savings,2025-02-24,26620.88,Inactive
ACC20224,CUST11248,Savings,2021-12-08,120542.94,Dormant
ACC20225,CUST12643,Savings,2025-04-23,19861.17,Dormant
ACC20226,CUST13269,Salary,2026-05-29,222097.73,Dormant
ACC20227,CUST14760,Current,2026-05-12,8357.0,Active
ACC20228,CUST12490,Savings,2025-08-01,182810.44,Active
ACC20229,CUST11413,Savings,2023-08-16,74568.55,Active
ACC20230,CUST12602,Current,2023-03-11,14604.7,Active
ACC20231,CUST12487,Savings,2025-11-22,35550.05,Active
ACC20232,CUST14873,Current,2024-11-07,10024.71,Active
ACC20233,CUST12508,Salary,2021-05-14,29152.54,Active
ACC20234,CUST11250,Savings,2025-07-12,13127.94,Active
ACC20235,CUST14954,Savings,2022-05-08,154005.98,Active
ACC20236,CUST10069,Savings,2023-08-10,4254.7,Active
ACC20237,CUST10309,Savings,2023-01-15,72999.55,Active
ACC20238,CUST10612,Savings,2021-08-19,70418.6,Active
ACC20239,CUST12486,Current,2025-12-29,123101.17,Active
ACC20240,CUST14672,Savings,2025-11-08,43357.63,Active
ACC20241,CUST12876,Savings,2024-03-24,37030.3,Active
ACC20242,CUST13216,Savings,2022-03-06,40221.55,Active
ACC20243,CUST12860,Savings,2026-01-12,12599.93,Active
ACC20244,CUST14544,Savings,2023-02-16,64981.42,Active
ACC20245,CUST10838,Savings,2023-04-24,49406.67,Active
ACC20246,CUST14193,Premium Savings,2021-09-20,23564.03,Active
ACC20247,CUST13014,Salary,2024-09-17,7178.44,Active
ACC20248,CUST11224,Premium Savings,2023-12-11,67818.6,Active
ACC20249,CUST12016,Salary,2025-08-08,37915.4,Active
ACC20250,CUST10081,Current,2022-06-12,24739.39,Active
ACC20251,CUST11400,Salary,2023-06-14,24767.18,Active
ACC20252,CUST10155,Current,2026-02-28,26804.83,Active
ACC20253,CUST10757,Current,2024-04-23,7667.69,Closed
ACC20254,CUST15000,Premium Savings,2025-05-31,176632.07,Active
ACC20255,CUST14324,Savings,2026-03-03,5433.79,Active
ACC20256,CUST11017,Salary,2025-07-14,10337.95,Active
ACC20257,CUST13531,Savings,2025-02-28,34545.43,Active
ACC20258,CUST10435,Savings,2021-10-27,18339.2,Active
ACC20259,CUST10110,Savings,2024-06-12,15220.13,Closed
ACC20260,CUST11609,Savings,2023-01-07,76232.62,Active
ACC20261,CUST12891,Salary,2023-04-29,73163.9,Active
ACC20262,CUST11285,Savings,2026-05-28,55716.03,Closed
ACC20263,CUST14016,Savings,2023-03-05,78608.19,Active
ACC20264,CUST13146,Salary,2021-05-28,78808.6,Inactive
ACC20265,CUST12729,Savings,2025-01-07,55453.92,Active
ACC20266,CUST13383,Premium Savings,2023-01-09,30931.69,Active
ACC20267,CUST11949,Savings,2025-03-31,28180.92,Dormant
ACC20268,CUST14481,Savings,2025-05-09,26099.16,Active
ACC20269,CUST12460,Premium Savings,2025-09-05,9419.17,Active
ACC20270,CUST12331,Savings,2025-07-07,141449.1,Active
ACC20271,CUST11643,Salary,2023-07-19,22235.25,Active
ACC20272,CUST11631,Current,2025-10-27,26338.09,Dormant
ACC20273,CUST10842,Savings,2024-01-07,17459.6,Dormant
ACC20274,CUST12453,Savings,2025-04-29,9741.94,Active
ACC20275,CUST13067,Savings,2021-05-15,27319.69,Inactive
ACC20276,CUST10981,Savings,2026-05-31,24278.6,Inactive
ACC20277,CUST10237,Savings,2021-05-30,65161.56,Active
ACC20278,CUST10182,Savings,2024-05-19,40891.71,Active
ACC20279,CUST11342,Salary,2026-04-16,47050.56,Active
ACC20280,CUST11416,Current,2024-04-03,45249.49,Active
ACC20281,CUST11408,Savings,2022-04-23,6183.62,Active
ACC20282,CUST10373,Savings,2023-07-02,24775.87,Active
ACC20283,CUST14909,Current,2025-02-13,218510.43,Dormant
ACC20284,CUST10732,Savings,2021-04-07,136469.81,Active
ACC20285,CUST14718,Savings,2022-04-19,64155.56,Active
ACC20286,CUST14539,Premium Savings,2026-06-21,60264.09,Active
ACC20287,CUST13173,Savings,2021-07-27,22071.41,Active
ACC20288,CUST11225,Current,2022-07-14,45620.17,Active
ACC20289,CUST14296,Savings,2025-08-24,69489.23,Active
ACC20290,CUST12644,Current,2022-09-07,8097.44,Active
ACC20291,CUST12017,Salary,2026-03-16,7348.96,Active
ACC20292,CUST14087,Savings,2022-11-23,55093.89,Active
ACC20293,CUST12195,Savings,2025-12-29,25782.33,Inactive
ACC20294,CUST13450,Savings,2024-05-23,19348.5,Active
ACC20295,CUST14547,Current,2025-01-14,58526.84,Dormant
ACC20296,CUST11546,Savings,2021-05-18,88100.79,Active
ACC20297,CUST12275,Savings,2024-05-09,45991.33,Active
ACC20298,CUST10107,Current,2024-11-13,12350.42,Active
ACC20299,CUST12580,Savings,2025-01-01,81604.49,Active
ACC20300,CUST13040,Salary,2025-03-12,8230.41,Active
ACC20301,CUST12411,Savings,2021-07-17,32675.0,Active
ACC20302,CUST14670,Current,2025-08-24,7454.43,Active
ACC20303,CUST12451,Savings,2024-02-04,72524.5,Active
ACC20304,CUST13286,Current,2024-12-21,23033.58,Active
ACC20306,CUST11881,Current,2023-04-01,27164.25,Closed
ACC20307,CUST13824,Current,2024-11-19,145751.21,Dormant
ACC20308,CUST10556,Premium Savings,2022-08-17,36176.8,Active
ACC20309,CUST12946,Savings,2024-11-01,34845.97,Active
ACC20310,CUST11914,Current,2024-01-28,45731.38,Active
ACC20311,CUST12677,Savings,2024-09-15,61037.0,Active
ACC20312,CUST12703,Savings,2024-05-31,16819.48,Active
ACC20313,CUST14138,Salary,2022-11-30,23682.3,Active
ACC20314,CUST14872,Current,2023-06-13,52889.85,Inactive
ACC20315,CUST13435,Savings,2022-05-03,16821.73,Active
ACC20316,CUST11848,Savings,2024-09-08,179184.72,Active
ACC20317,CUST10506,Savings,2022-09-02,24677.73,Active
ACC20318,CUST10716,Savings,2023-02-01,58952.09,Active
ACC20319,CUST12486,Savings,2025-09-28,846663.0,Active
ACC20320,CUST11413,Savings,2023-04-07,15195.93,Inactive
ACC20321,CUST12669,Savings,2022-08-24,57517.33,Active
ACC20322,CUST11741,Salary,2021-04-29,63061.94,Active
ACC20323,CUST14367,Premium Savings,2024-10-09,183269.55,Active
ACC20324,CUST14405,Savings,2022-05-16,115697.96,Active
ACC20325,CUST11154,Salary,2026-03-05,7792.01,Active
ACC20326,CUST11566,Savings,2025-01-12,23693.35,Active
ACC20327,CUST14429,Current,2025-03-03,33627.99,Closed
ACC20328,CUST12767,Salary,2023-01-20,35976.54,Active
ACC20329,CUST14818,Savings,2023-01-07,199795.42,Active
ACC20330,CUST12454,Salary,2022-11-26,21903.42,Closed
ACC20331,CUST14365,Savings,2021-03-27,224422.33,Active
ACC20332,CUST14751,Salary,2024-04-28,133850.54,Active
ACC20333,CUST12156,Salary,2025-01-10,37672.3,Active
ACC20334,CUST11961,Savings,2023-05-19,11380.95,Active
ACC20335,CUST11567,Salary,2025-05-22,18019.73,Active
ACC20336,CUST14238,Savings,2022-07-02,28484.05,Closed
ACC20337,CUST10237,Premium Savings,2021-02-13,37558.66,Active
ACC20338,CUST12053,Savings,2023-03-22,72395.8,Inactive
ACC20339,CUST14469,Savings,2021-05-06,57977.24,Active
ACC20340,CUST14556,Savings,2024-04-19,35700.74,Active
ACC20341,CUST12444,Salary,2022-04-04,46168.34,Dormant
ACC20342,CUST13995,Salary,2022-08-21,107605.43,Active
ACC20343,CUST11209,Savings,2026-06-10,264355.95,Active
ACC20344,CUST11960,Premium Savings,2025-12-25,24189.77,Closed
ACC20345,CUST11687,Savings,2023-06-23,51946.72,Active
ACC20346,CUST10198,Current,2021-03-05,75625.62,Closed
ACC20347,CUST13369,Savings,2026-01-15,27903.61,Active
ACC20348,CUST13443,Premium Savings,2023-02-19,29154.39,Active
ACC20349,CUST13984,Premium Savings,2024-09-05,27623.33,Inactive
ACC20350,CUST14590,Savings,2026-01-02,50101.72,Active
ACC20351,CUST11224,Savings,2026-04-17,41484.04,Active
ACC20352,CUST10198,Salary,2022-05-04,29656.82,Active
ACC20353,CUST11019,Savings,2024-10-26,73391.39,Active
ACC20354,CUST14468,Salary,2025-03-19,119841.39,Active
ACC20355,CUST14438,Current,2025-06-08,28035.77,Active
ACC20356,CUST10630,Current,2022-11-13,41762.83,Active
ACC20357,CUST10482,Savings,2023-10-23,356426.11,Active
ACC20358,CUST10604,Premium Savings,2025-03-25,22388.86,Active
ACC20359,CUST11346,Current,2023-06-06,18406.82,Dormant
ACC20360,CUST11603,Savings,2023-08-04,15073.77,Active
ACC20361,CUST13912,Salary,2021-02-18,12559.65,Inactive
ACC20362,CUST11708,Current,2022-10-28,7132.74,Active
ACC20363,CUST13136,Savings,2022-07-14,103403.21,Active
ACC20364,CUST13553,Premium Savings,2021-01-02,15864.83,Active
ACC20365,CUST10585,Savings,2026-08-12,65459.34,Dormant
ACC20366,CUST12732,Savings,2026-08-03,68226.04,Active
ACC20367,CUST11748,Savings,2023-12-01,22491.34,Active
ACC20368,CUST10855,Savings,2026-02-07,27719.76,Closed
ACC20369,CUST14906,Premium Savings,2021-07-18,412700.03,Active
ACC20370,CUST14045,Savings,2022-01-14,31819.03,Active
ACC20371,CUST13442,Savings,2026-02-16,101367.84,Active
ACC20372,CUST14639,Savings,2023-02-08,49685.23,Inactive
ACC20373,CUST12648,Savings,2022-02-11,18895.25,Active
ACC20374,CUST12279,Current,2025-03-19,47138.46,Active
ACC20375,CUST13132,Savings,2021-05-06,20077.31,Active
ACC20376,CUST12042,Savings,2026-07-07,27321.62,Dormant
ACC20377,CUST14799,Salary,2023-11-01,143682.91,Active
ACC20378,CUST13901,Savings,2022-05-26,109376.7,Active
ACC20379,CUST13156,Current,2025-12-30,35506.64,Active
ACC20380,CUST14221,Salary,2024-07-29,6147.56,Dormant
ACC20381,CUST13731,Savings,2025-08-28,57300.03,Active
ACC20382,CUST11304,Salary,2022-09-19,15039.37,Active
ACC20383,CUST11529,Savings,2024-11-07,4877.69,Active
ACC20384,CUST11565,Savings,2021-02-04,7938.45,Active
ACC20385,CUST10481,Current,2025-07-06,149047.56,Active
ACC20386,CUST13619,Savings,2024-11-15,46857.36,Active
ACC20387,CUST12132,Savings,2021-10-18,8151.61,Active
ACC20388,CUST14570,Savings,2022-03-16,12668.5,Active
ACC20389,CUST13069,Savings,2023-06-08,24541.97,Active
ACC20390,CUST11169,Premium Savings,2024-11-20,181450.19,Active
ACC20391,CUST10158,Savings,2022-07-11,40912.92,Active
ACC20392,CUST14823,Savings,2023-01-05,253793.62,Active
ACC20393,CUST14058,Premium Savings,2025-05-06,97515.17,Active
ACC20394,CUST10892,Savings,2022-03-17,111393.36,Active
ACC20395,CUST13575,Savings,2021-02-21,42509.17,Active
ACC20396,CUST10199,Salary,2025-09-06,383114.53,Active
ACC20397,CUST13201,Savings,2023-12-29,994075.51,Inactive
ACC20398,CUST14985,Savings,2023-03-13,151404.88,Active
ACC20399,CUST10963,Savings,2026-07-30,45249.49,Active
ACC20400,CUST11671,Salary,2023-05-17,32524.98,Active
ACC20401,CUST10771,Savings,2025-01-07,86760.06,Active
ACC20402,CUST13410,Savings,2025-09-23,490659.77,Active
ACC20403,CUST12130,Salary,2022-06-01,25664.29,Active
ACC20404,CUST14054,Savings,2023-07-30,24160.19,Dormant
ACC20405,CUST10340,Premium Savings,2024-07-14,95527.85,Active
ACC20406,CUST13893,Salary,2023-05-13,152448.73,Active
ACC20407,CUST14200,Savings,2022-09-26,3803.52,Active
ACC20408,CUST14843,Premium Savings,2025-02-26,34276.86,Active
ACC20409,CUST10862,Savings,2021-05-30,36392.31,Dormant
ACC20410,CUST11408,Savings,2021-12-22,63792.28,Active
ACC20411,CUST14904,Current,2026-07-09,60251.95,Active
ACC20412,CUST12782,Current,2025-11-22,56592.2,Active
ACC20413,CUST13915,Premium Savings,2025-02-15,66823.72,Active
ACC20414,CUST13838,Savings,2026-05-16,36457.38,Active
ACC20415,CUST11703,Savings,2022-08-21,24169.49,Active
ACC20416,CUST11226,Salary,2023-06-24,128708.82,Active
ACC20417,CUST10445,Savings,2022-04-06,198987.84,Active
ACC20418,CUST12980,Current,2025-01-18,37615.91,Active
ACC20419,CUST11199,Savings,2026-01-07,379630.26,Active
ACC20420,CUST11727,Salary,2022-09-06,103133.1,Active
ACC20421,CUST14690,Current,2024-11-28,49969.28,Active
ACC20422,CUST13521,Savings,2024-12-23,26529.0,Closed
ACC20423,CUST12579,Current,2022-07-03,73815.26,Active
ACC20424,CUST11663,Premium Savings,2023-12-10,22876.73,Active
ACC20425,CUST14369,Savings,2022-01-30,34938.66,Active
ACC20426,CUST14001,Current,2024-12-15,13551.32,Active
ACC20427,CUST10488,Savings,2024-11-02,125539.72,Active
ACC20428,CUST11382,Savings,2024-09-30,41144.07,Active
ACC20429,CUST12728,Savings,2026-02-14,43993.27,Active
ACC20430,CUST13394,Current,2024-04-11,41534.02,Active
ACC20431,CUST10745,Salary,2022-12-08,43235.25,Active
ACC20432,CUST12420,Savings,2023-08-03,49098.71,Active
ACC20433,CUST14991,Current,2021-10-17,172670.87,Active
ACC20434,CUST13010,Savings,2021-10-30,79817.24,Active
ACC20435,CUST14902,Savings,2025-12-07,83647.11,Active
ACC20436,CUST14771,Current,2024-01-01,2589.57,Active
ACC20437,CUST11734,Salary,2022-11-05,15662.43,Active
ACC20438,CUST12756,Premium Savings,2023-12-27,87578.44,Active
ACC20439,CUST11432,Savings,2022-10-01,36547.42,Active
ACC20440,CUST14133,Salary,2024-09-01,27420.52,Active
ACC20441,CUST13037,Current,2024-12-26,28867.9,Inactive
ACC20442,CUST10762,Premium Savings,2025-01-04,40284.37,Active
ACC20443,CUST10222,Savings,2023-07-07,40879.39,Active
ACC20444,CUST11382,Savings,2026-02-14,92329.18,Inactive
